RUN	StarTest.Framework.StarSim	starsim	1632763251750	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_10	3.5.1
USER	Users_1	START	1632763253239
USER	Users_1	START	1632763253337
USER	Users_1	START	1632763253439
USER	Users_1	START	1632763253535
REQUEST	Authenticate	Authenticate	1632763253265	1632763253586	OK	 
GROUP	Authenticate	1632763253241	1632763253600	321	OK
REQUEST	Authenticate	Authenticate	1632763253337	1632763253625	OK	 
GROUP	Authenticate	1632763253337	1632763253625	288	OK
USER	Users_1	START	1632763253639
REQUEST	Authenticate	Authenticate	1632763253440	1632763253718	OK	 
GROUP	Authenticate	1632763253439	1632763253719	278	OK
USER	Users_1	START	1632763253737
REQUEST	Authenticate	Authenticate	1632763253536	1632763253803	OK	 
GROUP	Authenticate	1632763253535	1632763253804	267	OK
USER	Users_1	START	1632763253838
REQUEST	Authenticate	Authenticate	1632763253640	1632763253897	OK	 
GROUP	Authenticate	1632763253639	1632763253897	257	OK
USER	Users_1	START	1632763253936
REQUEST	Authenticate	Authenticate	1632763253737	1632763254008	OK	 
GROUP	Authenticate	1632763253737	1632763254009	271	OK
USER	Users_1	START	1632763254041
REQUEST	Authenticate	Authenticate	1632763253839	1632763254099	OK	 
GROUP	Authenticate	1632763253839	1632763254100	260	OK
USER	Users_1	START	1632763254136
REQUEST	GetStarNote	GetStarNote	1632763253720	1632763254143	OK	 
GROUP	GetStarNote	1632763253719	1632763254145	423	OK
REQUEST	GetStarNote	GetStarNote	1632763253608	1632763254186	OK	 
GROUP	GetStarNote	1632763253602	1632763254186	578	OK
REQUEST	Authenticate	Authenticate	1632763253937	1632763254209	OK	 
GROUP	Authenticate	1632763253936	1632763254209	272	OK
REQUEST	GetStarNote	GetStarNote	1632763253804	1632763254216	OK	 
GROUP	GetStarNote	1632763253804	1632763254216	412	OK
REQUEST	GetStarNote	GetStarNote	1632763253898	1632763254249	OK	 
GROUP	GetStarNote	1632763253898	1632763254250	351	OK
REQUEST	Authenticate	Authenticate	1632763254042	1632763254312	OK	 
GROUP	Authenticate	1632763254041	1632763254313	270	OK
REQUEST	GetStarNote	GetStarNote	1632763254010	1632763254356	OK	 
GROUP	GetStarNote	1632763254009	1632763254357	346	OK
REQUEST	GetStarNote	GetStarNote	1632763253626	1632763254389	OK	 
GROUP	GetStarNote	1632763253626	1632763254390	763	OK
REQUEST	Authenticate	Authenticate	1632763254137	1632763254391	OK	 
GROUP	Authenticate	1632763254137	1632763254392	254	OK
REQUEST	GetStarNote	GetStarNote	1632763254101	1632763254493	OK	 
GROUP	GetStarNote	1632763254100	1632763254493	392	OK
REQUEST	GetStarNote	GetStarNote	1632763254210	1632763254774	OK	 
GROUP	GetStarNote	1632763254210	1632763254775	564	OK
REQUEST	GetStarNote	GetStarNote	1632763254393	1632763254777	OK	 
GROUP	GetStarNote	1632763254392	1632763254777	384	OK
REQUEST	GetStarNote	GetStarNote	1632763254314	1632763254837	OK	 
GROUP	GetStarNote	1632763254314	1632763254837	523	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632763255153	1632763256951	OK	 
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632763255193	1632763256951	OK	 
GROUP	GetEpisodeOfCare	1632763255192	1632763256951	1758	OK
