RUN	MarsTest.Framework.MarsSim	marssim	1623873442028	MarsTest.Framework.MarsSim-SIMULATION_1_1:SIMULATION_2_1:SIMULATION_3_1:Iterations_1	3.5.1
REQUEST	MarsTestALL / APIs,SearchByMetaData		1623873443375	1623873443375	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,SearchByMetaData	1623873443362	1623873443378	1	KO
USER	MarsTestALL	START	1623873443359
REQUEST	MarsTestALL / APIs,GetDocumentById		1623873444382	1623873444382	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,GetDocumentById	1623873444381	1623873444382	1	KO
REQUEST	MarsTestALL / APIs,FindAllStates		1623873445384	1623873445384	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,FindAllStates	1623873445384	1623873445384	1	KO
REQUEST	MarsTestALL / APIs,GetClusterByProviderType		1623873446386	1623873446386	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,GetClusterByProviderType	1623873446386	1623873446387	1	KO
REQUEST	MarsTestALL / APIs,GetProviderAddress		1623873447388	1623873447388	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,GetProviderAddress	1623873447387	1623873447388	1	KO
REQUEST	MarsTestALL / APIs,GetProviderName		1623873448390	1623873448390	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,GetProviderName	1623873448389	1623873448390	1	KO
REQUEST	MarsTestALL / APIs,GetCensus		1623873449393	1623873449393	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,GetCensus	1623873449393	1623873449394	1	KO
REQUEST	MarsTestALL / APIs,findMemberLinxById		1623873450398	1623873450398	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,findMemberLinxById	1623873450398	1623873450399	1	KO
GROUP	MarsTestALL / APIs	1623873443362	1623873451402	8	KO
USER	MarsTestALL	END	1623873451404
