RUN	JJ.Framework.JJSim	jjsim	1622593425903	JJ.Framework.JJSim-SIMULATION_1_1:SIMULATION_2_:SIMULATION_3_:SIMULATION_4_0:Iterations_1000	3.5.1
USER	Users_1	START	1622593427412
REQUEST	Scen_1,NPI	NPI	1622593427428	1622593432849	OK	 
GROUP	Scen_1,NPI	1622593427415	1622593432878	5421	OK
GROUP	Scen_1	1622593427415	1622593432878	5421	OK
REQUEST	Scen_1,NPI	NPI	1622593432880	1622593433156	OK	 
GROUP	Scen_1,NPI	1622593432879	1622593433157	276	OK
GROUP	Scen_1	1622593432879	1622593433158	276	OK
REQUEST	Scen_1,NPI	NPI	1622593433158	1622593434282	OK	 
GROUP	Scen_1,NPI	1622593433158	1622593434283	1124	OK
GROUP	Scen_1	1622593433158	1622593434283	1124	OK
REQUEST	Scen_1,NPI	NPI	1622593434284	1622593434434	OK	 
GROUP	Scen_1,NPI	1622593434283	1622593434436	150	OK
GROUP	Scen_1	1622593434283	1622593434436	150	OK
REQUEST	Scen_1,NPI	NPI	1622593434437	1622593435610	OK	 
GROUP	Scen_1,NPI	1622593434436	1622593435611	1173	OK
GROUP	Scen_1	1622593434436	1622593435611	1173	OK
REQUEST	Scen_1,NPI	NPI	1622593435612	1622593435736	OK	 
GROUP	Scen_1,NPI	1622593435612	1622593435737	124	OK
GROUP	Scen_1	1622593435612	1622593435737	124	OK
REQUEST	Scen_1,NPI	NPI	1622593435738	1622593435896	OK	 
GROUP	Scen_1,NPI	1622593435737	1622593435897	158	OK
GROUP	Scen_1	1622593435737	1622593435897	158	OK
REQUEST	Scen_1,NPI	NPI	1622593435898	1622593436059	OK	 
GROUP	Scen_1,NPI	1622593435898	1622593436060	161	OK
GROUP	Scen_1	1622593435898	1622593436060	161	OK
REQUEST	Scen_1,NPI	NPI	1622593436061	1622593436195	OK	 
GROUP	Scen_1,NPI	1622593436060	1622593436197	134	OK
GROUP	Scen_1	1622593436060	1622593436197	134	OK
REQUEST	Scen_1,NPI	NPI	1622593436198	1622593436327	OK	 
GROUP	Scen_1,NPI	1622593436197	1622593436328	129	OK
GROUP	Scen_1	1622593436197	1622593436328	129	OK
REQUEST	Scen_1,NPI	NPI	1622593436329	1622593436457	OK	 
GROUP	Scen_1,NPI	1622593436329	1622593436459	128	OK
GROUP	Scen_1	1622593436329	1622593436459	128	OK
REQUEST	Scen_1,NPI	NPI	1622593436460	1622593436741	OK	 
GROUP	Scen_1,NPI	1622593436459	1622593436742	281	OK
GROUP	Scen_1	1622593436459	1622593436743	281	OK
REQUEST	Scen_1,NPI	NPI	1622593436743	1622593436904	OK	 
GROUP	Scen_1,NPI	1622593436743	1622593436906	161	OK
GROUP	Scen_1	1622593436743	1622593436906	161	OK
REQUEST	Scen_1,NPI	NPI	1622593436907	1622593437028	OK	 
GROUP	Scen_1,NPI	1622593436906	1622593437030	121	OK
GROUP	Scen_1	1622593436906	1622593437030	121	OK
REQUEST	Scen_1,NPI	NPI	1622593437030	1622593437154	OK	 
GROUP	Scen_1,NPI	1622593437030	1622593437155	124	OK
GROUP	Scen_1	1622593437030	1622593437156	124	OK
REQUEST	Scen_1,NPI	NPI	1622593437156	1622593437308	OK	 
GROUP	Scen_1,NPI	1622593437156	1622593437309	152	OK
GROUP	Scen_1	1622593437156	1622593437309	152	OK
REQUEST	Scen_1,NPI	NPI	1622593437310	1622593437455	OK	 
GROUP	Scen_1,NPI	1622593437309	1622593437456	145	OK
GROUP	Scen_1	1622593437309	1622593437456	145	OK
REQUEST	Scen_1,NPI	NPI	1622593437457	1622593437601	OK	 
GROUP	Scen_1,NPI	1622593437456	1622593437602	144	OK
GROUP	Scen_1	1622593437456	1622593437602	144	OK
REQUEST	Scen_1,NPI	NPI	1622593437603	1622593437865	OK	 
GROUP	Scen_1,NPI	1622593437602	1622593437866	262	OK
GROUP	Scen_1	1622593437602	1622593437866	262	OK
REQUEST	Scen_1,NPI	NPI	1622593437867	1622593438002	OK	 
GROUP	Scen_1,NPI	1622593437867	1622593438003	135	OK
GROUP	Scen_1	1622593437867	1622593438003	135	OK
REQUEST	Scen_1,NPI	NPI	1622593438003	1622593438131	OK	 
GROUP	Scen_1,NPI	1622593438003	1622593438132	128	OK
GROUP	Scen_1	1622593438003	1622593438133	128	OK
REQUEST	Scen_1,NPI	NPI	1622593438133	1622593438316	OK	 
GROUP	Scen_1,NPI	1622593438133	1622593438317	183	OK
GROUP	Scen_1	1622593438133	1622593438317	183	OK
REQUEST	Scen_1,NPI	NPI	1622593438318	1622593438462	OK	 
GROUP	Scen_1,NPI	1622593438317	1622593438463	144	OK
GROUP	Scen_1	1622593438317	1622593438463	144	OK
REQUEST	Scen_1,NPI	NPI	1622593438464	1622593438638	OK	 
GROUP	Scen_1,NPI	1622593438464	1622593438640	174	OK
GROUP	Scen_1	1622593438464	1622593438640	174	OK
REQUEST	Scen_1,NPI	NPI	1622593438640	1622593438773	OK	 
GROUP	Scen_1,NPI	1622593438640	1622593438775	133	OK
GROUP	Scen_1	1622593438640	1622593438775	133	OK
REQUEST	Scen_1,NPI	NPI	1622593438775	1622593438902	OK	 
GROUP	Scen_1,NPI	1622593438775	1622593438903	127	OK
GROUP	Scen_1	1622593438775	1622593438903	127	OK
REQUEST	Scen_1,NPI	NPI	1622593438904	1622593439033	OK	 
GROUP	Scen_1,NPI	1622593438903	1622593439033	129	OK
GROUP	Scen_1	1622593438903	1622593439033	129	OK
REQUEST	Scen_1,NPI	NPI	1622593439034	1622593439166	OK	 
GROUP	Scen_1,NPI	1622593439034	1622593439167	132	OK
GROUP	Scen_1	1622593439034	1622593439167	132	OK
REQUEST	Scen_1,NPI	NPI	1622593439168	1622593439296	OK	 
GROUP	Scen_1,NPI	1622593439167	1622593439297	128	OK
GROUP	Scen_1	1622593439167	1622593439297	128	OK
REQUEST	Scen_1,NPI	NPI	1622593439298	1622593439424	OK	 
GROUP	Scen_1,NPI	1622593439297	1622593439425	126	OK
GROUP	Scen_1	1622593439297	1622593439425	126	OK
REQUEST	Scen_1,NPI	NPI	1622593439426	1622593439564	OK	 
GROUP	Scen_1,NPI	1622593439425	1622593439565	138	OK
GROUP	Scen_1	1622593439425	1622593439565	138	OK
REQUEST	Scen_1,NPI	NPI	1622593439566	1622593439911	OK	 
GROUP	Scen_1,NPI	1622593439565	1622593439912	345	OK
GROUP	Scen_1	1622593439565	1622593439912	345	OK
REQUEST	Scen_1,NPI	NPI	1622593439913	1622593440832	OK	 
GROUP	Scen_1,NPI	1622593439912	1622593440833	919	OK
GROUP	Scen_1	1622593439912	1622593440833	919	OK
REQUEST	Scen_1,NPI	NPI	1622593440834	1622593441280	OK	 
GROUP	Scen_1,NPI	1622593440833	1622593441280	446	OK
GROUP	Scen_1	1622593440833	1622593441280	446	OK
REQUEST	Scen_1,NPI	NPI	1622593441281	1622593441414	OK	 
GROUP	Scen_1,NPI	1622593441281	1622593441415	133	OK
GROUP	Scen_1	1622593441281	1622593441415	133	OK
REQUEST	Scen_1,NPI	NPI	1622593441416	1622593441549	OK	 
GROUP	Scen_1,NPI	1622593441415	1622593441550	133	OK
GROUP	Scen_1	1622593441415	1622593441550	133	OK
REQUEST	Scen_1,NPI	NPI	1622593441551	1622593441684	OK	 
GROUP	Scen_1,NPI	1622593441550	1622593441685	133	OK
GROUP	Scen_1	1622593441550	1622593441685	133	OK
REQUEST	Scen_1,NPI	NPI	1622593441685	1622593441814	OK	 
GROUP	Scen_1,NPI	1622593441685	1622593441815	129	OK
GROUP	Scen_1	1622593441685	1622593441815	129	OK
REQUEST	Scen_1,NPI	NPI	1622593441816	1622593441938	OK	 
GROUP	Scen_1,NPI	1622593441815	1622593441939	122	OK
GROUP	Scen_1	1622593441815	1622593441939	122	OK
