RUN	JJ.Framework.JJSim	jjsim	1622746663490	JJ.Framework.JJSim-SIMULATION_1_1:SIMULATION_2_0:SIMULATION_3_0:SIMULATION_4_:Iterations_10	3.5.1
USER	Users_1	START	1622746665143
REQUEST	NPI_Control,NPI_1922555846	NPI_Control	1622746665158	1622746672305	OK	 
GROUP	NPI_Control,NPI_1922555846	1622746665146	1622746672332	7147	OK
GROUP	NPI_Control	1622746665145	1622746674086	7147	OK
REQUEST	NPI_Control,NPI_1922555846	NPI_Control	1622746674090	1622746674451	OK	 
GROUP	NPI_Control,NPI_1922555846	1622746674087	1622746674453	361	OK
GROUP	NPI_Control	1622746674087	1622746675835	361	OK
REQUEST	NPI_Control,NPI_1922555846	NPI_Control	1622746675836	1622746675998	OK	 
GROUP	NPI_Control,NPI_1922555846	1622746675835	1622746675999	162	OK
GROUP	NPI_Control	1622746675835	1622746677291	162	OK
REQUEST	NPI_Control,NPI_1922555846	NPI_Control	1622746677292	1622746677543	OK	 
GROUP	NPI_Control,NPI_1922555846	1622746677291	1622746677545	251	OK
GROUP	NPI_Control	1622746677291	1622746678856	251	OK
REQUEST	NPI_Control,NPI_1922555846	NPI_Control	1622746678858	1622746679472	OK	 
GROUP	NPI_Control,NPI_1922555846	1622746678857	1622746679473	614	OK
GROUP	NPI_Control	1622746678857	1622746680677	614	OK
REQUEST	NPI_Control,NPI_1922555846	NPI_Control	1622746680678	1622746681203	OK	 
GROUP	NPI_Control,NPI_1922555846	1622746680677	1622746681204	525	OK
GROUP	NPI_Control	1622746680677	1622746683048	525	OK
REQUEST	NPI_Control,NPI_1922555846	NPI_Control	1622746683049	1622746683223	OK	 
GROUP	NPI_Control,NPI_1922555846	1622746683048	1622746683224	174	OK
GROUP	NPI_Control	1622746683048	1622746684753	174	OK
REQUEST	NPI_Control,NPI_1922555846	NPI_Control	1622746684754	1622746684961	OK	 
GROUP	NPI_Control,NPI_1922555846	1622746684753	1622746684962	207	OK
GROUP	NPI_Control	1622746684753	1622746686723	207	OK
REQUEST	NPI_Control,NPI_1922555846	NPI_Control	1622746686724	1622746686984	OK	 
GROUP	NPI_Control,NPI_1922555846	1622746686724	1622746686985	260	OK
GROUP	NPI_Control	1622746686724	1622746688819	260	OK
REQUEST	NPI_Control,NPI_1922555846	NPI_Control	1622746688820	1622746689063	OK	 
GROUP	NPI_Control,NPI_1922555846	1622746688819	1622746689064	243	OK
GROUP	NPI_Control	1622746688819	1622746690673	243	OK
USER	Users_1	END	1622746690676
