RUN	Optum.Framework.OptumSim	optumsim	1625758080728	Optum.Framework.OptumSim-SIMULATION_1_2:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1625758082270
REQUEST	,Login		1625758082287	1625758082624	OK	 
REQUEST	,Login	favicon.ico	1625758082674	1625758082937	OK	 
REQUEST	,Login	styles-es5.8dcb7b1cdd5d944ad068.js	1625758082939	1625758083040	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625758082675	1625758083130	OK	 
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625758082674	1625758083132	OK	 
REQUEST	,Login	icon?family=Material+Icons	1625758082676	1625758083146	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625758082676	1625758083214	OK	 
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625758082675	1625758083456	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625758082676	1625758083460	OK	 
REQUEST	,Login	main-es2015.8a12e6f1e5b08471ce36.js	1625758083040	1625758083789	OK	 
REQUEST	,Login	main-es5.8a12e6f1e5b08471ce36.js	1625758083130	1625758084016	OK	 
REQUEST	,Login		1625758084017	1625758084097	OK	 
REQUEST	,Login		1625758084100	1625758084178	OK	 
REQUEST	,Login		1625758084180	1625758084497	OK	 
GROUP	,Login	1625758082273	1625758084498	2158	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625758085505	1625758085651	OK	 
GROUP	,SearchByActiveMember	1625758085504	1625758085652	146	OK
REQUEST	,SearchName_Name	Search_1	1625758087405	1625758087712	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625758087716	1625758087936	OK	 
GROUP	,SearchName_Name	1625758087404	1625758087937	527	OK
REQUEST	,S_3231359	Select_Smith	1625758089647	1625758089869	OK	 
REQUEST	,S_3231359	request_1	1625758089872	1625758090380	OK	 
REQUEST	,S_3231359	request_3231359	1625758090382	1625758090690	OK	 
GROUP	,S_3231359	1625758089646	1625758090690	1038	OK
REQUEST	,DrillDown_Smith	70078	1625758092688	1625758092849	OK	 
GROUP	,DrillDown_Smith	1625758092686	1625758092849	161	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625758094766	1625758094954	OK	 
GROUP	,SearchByActiveMember	1625758094765	1625758094954	188	OK
REQUEST	,SearchName_Name	Search_1	1625758096583	1625758096935	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625758096936	1625758097551	OK	 
GROUP	,SearchName_Name	1625758096582	1625758097552	967	OK
REQUEST	,S_3231359	Select_Smith	1625758098861	1625758098969	OK	 
REQUEST	,S_3231359	request_1	1625758098970	1625758099597	OK	 
REQUEST	,S_3231359	request_3231359	1625758099598	1625758099905	OK	 
GROUP	,S_3231359	1625758098860	1625758099906	1042	OK
REQUEST	,DrillDown_Smith	70078	1625758101219	1625758101347	OK	 
GROUP	,DrillDown_Smith	1625758101218	1625758101347	128	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625758103101	1625758103498	OK	 
GROUP	,SearchByActiveMember	1625758103101	1625758103498	397	OK
REQUEST	,SearchName_Name	Search_1	1625758104561	1625758104779	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625758104781	1625758105015	OK	 
GROUP	,SearchName_Name	1625758104560	1625758105015	452	OK
REQUEST	,S_3231359	Select_Smith	1625758106440	1625758106538	OK	 
REQUEST	,S_3231359	request_1	1625758106539	1625758106968	OK	 
REQUEST	,S_3231359	request_3231359	1625758106969	1625758107276	OK	 
GROUP	,S_3231359	1625758106440	1625758107277	834	OK
REQUEST	,DrillDown_Smith	70078	1625758109161	1625758109284	OK	 
GROUP	,DrillDown_Smith	1625758109160	1625758109285	123	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625758110742	1625758111135	OK	 
GROUP	,SearchByActiveMember	1625758110741	1625758111135	393	OK
USER	Users_1	START	1625758112261
REQUEST	,SearchName_Name	Search_1	1625758112166	1625758112398	OK	 
REQUEST	,Login		1625758112262	1625758112602	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625758112399	1625758112617	OK	 
GROUP	,SearchName_Name	1625758112165	1625758112617	450	OK
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625758112605	1625758112947	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625758112605	1625758112949	OK	 
REQUEST	,Login	icon?family=Material+Icons	1625758112606	1625758112963	OK	 
REQUEST	,Login	favicon.ico	1625758112605	1625758113102	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625758112605	1625758113104	OK	 
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625758112605	1625758113105	OK	 
REQUEST	,Login	styles-es5.8dcb7b1cdd5d944ad068.js	1625758112947	1625758113120	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625758112605	1625758113180	OK	 
REQUEST	,Login	main-es5.8a12e6f1e5b08471ce36.js	1625758113103	1625758113808	OK	 
REQUEST	,S_3231359	Select_Smith	1625758114066	1625758114169	OK	 
REQUEST	,Login	main-es2015.8a12e6f1e5b08471ce36.js	1625758112950	1625758114246	OK	 
REQUEST	,Login		1625758114246	1625758114326	OK	 
REQUEST	,Login		1625758114327	1625758114408	OK	 
REQUEST	,Login		1625758114409	1625758114699	OK	 
GROUP	,Login	1625758112261	1625758114700	2433	OK
REQUEST	,S_3231359	request_1	1625758114170	1625758114885	OK	 
REQUEST	,S_3231359	request_3231359	1625758114886	1625758115126	OK	 
GROUP	,S_3231359	1625758114066	1625758115126	1058	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625758115704	1625758115858	OK	 
GROUP	,SearchByActiveMember	1625758115704	1625758115858	154	OK
REQUEST	,DrillDown_Smith	70078	1625758116611	1625758116747	OK	 
GROUP	,DrillDown_Smith	1625758116610	1625758116748	136	OK
REQUEST	,SearchName_Name	Search_1	1625758116996	1625758117252	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625758117253	1625758117494	OK	 
GROUP	,SearchName_Name	1625758116995	1625758117494	497	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625758118346	1625758118499	OK	 
GROUP	,SearchByActiveMember	1625758118346	1625758118499	153	OK
REQUEST	,S_3231359	Select_Smith	1625758119284	1625758119390	OK	 
REQUEST	,S_3231359	request_1	1625758119391	1625758119774	OK	 
REQUEST	,S_3231359	request_3231359	1625758119775	1625758120079	OK	 
GROUP	,S_3231359	1625758119283	1625758120079	793	OK
REQUEST	,SearchName_Name	Search_1	1625758120438	1625758120907	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625758120907	1625758121148	OK	 
GROUP	,SearchName_Name	1625758120437	1625758121148	710	OK
REQUEST	,DrillDown_Smith	70078	1625758121718	1625758121855	OK	 
GROUP	,DrillDown_Smith	1625758121717	1625758121856	137	OK
