RUN	StarTest.Framework.StarSim	starsim	1624545560234	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_10	3.5.1
USER	Users_1	START	1624545561714
REQUEST	StarAPI,LOGIN	LOGIN	1624545561742	1624545562015	OK	 
GROUP	StarAPI,LOGIN	1624545561719	1624545562035	273	OK
USER	Users_1	START	1624545562709
REQUEST	StarAPI,LOGIN	LOGIN	1624545562710	1624545562976	OK	 
GROUP	StarAPI,LOGIN	1624545562709	1624545562977	266	OK
USER	Users_1	START	1624545563707
REQUEST	StarAPI,LOGIN	LOGIN	1624545563708	1624545563982	OK	 
GROUP	StarAPI,LOGIN	1624545563707	1624545563983	274	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624545563812	1624545564193	OK	 
GROUP	StarAPI,GetStarNote	1624545563806	1624545564195	381	OK
USER	Users_1	START	1624545564702
REQUEST	StarAPI,LOGIN	LOGIN	1624545564703	1624545564978	OK	 
GROUP	StarAPI,LOGIN	1624545564702	1624545564979	275	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624545564790	1624545565142	OK	 
GROUP	StarAPI,GetStarNote	1624545564790	1624545565143	352	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624545565055	1624545565408	OK	 
GROUP	StarAPI,GetStarNote	1624545565054	1624545565409	353	OK
USER	Users_1	START	1624545565703
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624545565951	1624545566365	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624545565950	1624545566366	414	OK
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624545566163	1624545566581	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624545566163	1624545566582	418	OK
USER	Users_1	START	1624545566703
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624545567322	1624545567686	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624545567322	1624545567687	364	OK
USER	Users_1	START	1624545567705
REQUEST	StarAPI,LOGIN	LOGIN	1624545566704	1624545567752	OK	 
GROUP	StarAPI,LOGIN	1624545566703	1624545567753	1048	OK
REQUEST	StarAPI,LOGIN	LOGIN	1624545565704	1624545567786	OK	 
GROUP	StarAPI,LOGIN	1624545565704	1624545567786	2082	OK
REQUEST	StarAPI,LOGIN	LOGIN	1624545567706	1624545567992	OK	 
GROUP	StarAPI,LOGIN	1624545567705	1624545567993	286	OK
USER	Users_1	START	1624545568701
REQUEST	StarAPI,LOGIN	LOGIN	1624545568702	1624545568963	OK	 
GROUP	StarAPI,LOGIN	1624545568701	1624545568964	261	OK
REQUEST	StarAPI,GetStarUIMemberList	GetStarUIMemberList	1624545568181	1624545569132	OK	 
GROUP	StarAPI,GetStarUIMemberList	1624545568181	1624545569133	951	OK
REQUEST	StarAPI,GetStarUIMemberList	GetStarUIMemberList	1624545568243	1624545569256	OK	 
GROUP	StarAPI,GetStarUIMemberList	1624545568243	1624545569257	1013	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624545568938	1624545569271	OK	 
GROUP	StarAPI,GetStarNote	1624545568938	1624545569271	333	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624545569360	1624545569697	OK	 
GROUP	StarAPI,GetStarNote	1624545569359	1624545569698	337	OK
USER	Users_1	START	1624545569705
REQUEST	StarAPI,LOGIN	LOGIN	1624545569706	1624545569953	OK	 
GROUP	StarAPI,LOGIN	1624545569705	1624545569953	247	OK
REQUEST	StarAPI,GetStarUIMemberList	GetStarUIMemberList	1624545569687	1624545570657	OK	 
GROUP	StarAPI,GetStarUIMemberList	1624545569686	1624545570657	970	OK
REQUEST	StarAPI,GetStarUIMemberDetail	GetStarUIMemberDetail	1624545570257	1624545570694	OK	 
GROUP	StarAPI,GetStarUIMemberDetail	1624545570256	1624545570694	437	OK
USER	Users_1	START	1624545570701
