RUN	StarTest.Framework.StarSim	starsim	1625844692388	StarTest.Framework.StarSim-SIMULATION_1_20:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
GROUP	Authenticate	1625844723796	1625844724110	313	OK
REQUEST	GetStarNote	GetStarNote	1625844723881	1625844724145	OK	 
GROUP	GetStarNote	1625844723881	1625844724145	264	OK
REQUEST	GetStarNote	GetStarNote	1625844724064	1625844724347	OK	 
GROUP	GetStarNote	1625844724063	1625844724347	283	OK
REQUEST	GetStarNote	GetStarNote	1625844724111	1625844724507	OK	 
GROUP	GetStarNote	1625844724110	1625844724507	396	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844723797	1625844724531	OK	 
GROUP	GetStarUIMemberList	1625844723796	1625844724531	734	OK
REQUEST	GetStarNote	GetStarNote	1625844725201	1625844725345	OK	 
GROUP	GetStarNote	1625844725200	1625844725346	144	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844724958	1625844725376	OK	 
GROUP	GetStarUIMemberDetail	1625844724957	1625844725376	418	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844725354	1625844725757	OK	 
GROUP	GetEpisodeOfCare	1625844725354	1625844725757	403	OK
REQUEST	ChatTranscript	ChatTranscript	1625844726569	1625844726655	OK	 
GROUP	ChatTranscript	1625844726569	1625844726655	86	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844726819	1625844727199	OK	 
GROUP	GetStarUIMemberDetail	1625844726818	1625844727199	380	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844727190	1625844727609	OK	 
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844727141	1625844727609	OK	 
GROUP	GetEpisodeOfCare	1625844727189	1625844727609	419	OK
GROUP	GetEpisodeOfCare	1625844727140	1625844727609	468	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844728051	1625844728443	OK	 
GROUP	GetEpisodeOfCare	1625844728050	1625844728444	392	OK
REQUEST	ChatTranscript	ChatTranscript	1625844728561	1625844728635	OK	 
GROUP	ChatTranscript	1625844728560	1625844728636	74	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844728270	1625844729462	OK	 
GROUP	GetStarUIMemberList	1625844728269	1625844729462	1192	OK
REQUEST	GetStarNote	GetStarNote	1625844729430	1625844729756	OK	 
GROUP	GetStarNote	1625844729429	1625844729756	326	OK
USER	Users_1	START	1625844729794
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844729230	1625844729929	OK	 
GROUP	GetStarUIMemberList	1625844729230	1625844729930	699	OK
REQUEST	Authenticate	Authenticate	1625844729794	1625844731251	OK	 
GROUP	Authenticate	1625844729794	1625844731252	1457	OK
REQUEST	GetStarNote	GetStarNote	1625844730498	1625844731251	OK	 
GROUP	GetStarNote	1625844730498	1625844731252	753	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844730453	1625844731612	OK	 
GROUP	GetStarUIMemberList	1625844730453	1625844731613	1159	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844730425	1625844731622	OK	 
GROUP	GetStarUIMemberList	1625844730425	1625844731622	1197	OK
REQUEST	GetStarNote	GetStarNote	1625844731252	1625844731631	OK	 
GROUP	GetStarNote	1625844731252	1625844731631	379	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844731340	1625844731769	OK	 
GROUP	GetStarUIMemberDetail	1625844731339	1625844731769	429	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844731764	1625844732365	OK	 
GROUP	GetEpisodeOfCare	1625844731763	1625844732366	601	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844732344	1625844732924	OK	 
GROUP	GetStarUIMemberDetail	1625844732343	1625844732925	580	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844733157	1625844733786	OK	 
GROUP	GetEpisodeOfCare	1625844733157	1625844733786	629	OK
REQUEST	ChatTranscript	ChatTranscript	1625844733654	1625844733930	OK	 
GROUP	ChatTranscript	1625844733653	1625844733931	276	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844733664	1625844734060	OK	 
GROUP	GetEpisodeOfCare	1625844733663	1625844734060	396	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844733858	1625844734437	OK	 
GROUP	GetStarUIMemberDetail	1625844733858	1625844734438	579	OK
REQUEST	ChatTranscript	ChatTranscript	1625844734497	1625844734585	OK	 
GROUP	ChatTranscript	1625844734497	1625844734585	88	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844734202	1625844734772	OK	 
GROUP	GetStarUIMemberDetail	1625844734201	1625844734773	570	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844734736	1625844735428	OK	 
GROUP	GetStarUIMemberList	1625844734736	1625844735428	692	OK
USER	Users_1	START	1625844735794
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844735435	1625844736541	OK	 
GROUP	GetStarUIMemberList	1625844735434	1625844736541	1106	OK
REQUEST	Authenticate	Authenticate	1625844735795	1625844736642	OK	 
GROUP	Authenticate	1625844735794	1625844736643	847	OK
REQUEST	GetStarNote	GetStarNote	1625844736412	1625844736746	OK	 
GROUP	GetStarNote	1625844736412	1625844736746	334	OK
REQUEST	GetStarNote	GetStarNote	1625844736746	1625844736994	OK	 
GROUP	GetStarNote	1625844736745	1625844736994	248	OK
REQUEST	ChatTranscript	ChatTranscript	1625844736961	1625844737053	OK	 
GROUP	ChatTranscript	1625844736960	1625844737054	92	OK
REQUEST	GetStarNote	GetStarNote	1625844736644	1625844737082	OK	 
GROUP	GetStarNote	1625844736644	1625844737082	438	OK
REQUEST	ChatTranscript	ChatTranscript	1625844736994	1625844737084	OK	 
GROUP	ChatTranscript	1625844736993	1625844737084	90	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844736231	1625844737149	OK	 
GROUP	GetStarUIMemberList	1625844736231	1625844737149	918	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844738002	1625844738382	OK	 
GROUP	GetStarUIMemberDetail	1625844738001	1625844738382	380	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844738270	1625844738665	OK	 
GROUP	GetStarUIMemberDetail	1625844738270	1625844738666	395	OK
REQUEST	GetStarNote	GetStarNote	1625844738623	1625844738782	OK	 
GROUP	GetStarNote	1625844738623	1625844738782	159	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844738688	1625844739070	OK	 
GROUP	GetEpisodeOfCare	1625844738687	1625844739070	382	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844738831	1625844739215	OK	 
GROUP	GetEpisodeOfCare	1625844738831	1625844739215	384	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844739207	1625844739589	OK	 
GROUP	GetStarUIMemberDetail	1625844739206	1625844739590	382	OK
REQUEST	GetStarNote	GetStarNote	1625844739606	1625844739765	OK	 
GROUP	GetStarNote	1625844739606	1625844739766	159	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844739456	1625844739834	OK	 
GROUP	GetEpisodeOfCare	1625844739456	1625844739834	378	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844740100	1625844740832	OK	 
GROUP	GetStarUIMemberList	1625844740099	1625844740833	732	OK
REQUEST	ChatTranscript	ChatTranscript	1625844740763	1625844740882	OK	 
GROUP	ChatTranscript	1625844740762	1625844740882	119	OK
REQUEST	ChatTranscript	ChatTranscript	1625844740864	1625844741016	OK	 
GROUP	ChatTranscript	1625844740863	1625844741016	152	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844740795	1625844741187	OK	 
GROUP	GetEpisodeOfCare	1625844740795	1625844741188	392	OK
USER	Users_1	START	1625844741794
REQUEST	ChatTranscript	ChatTranscript	1625844741948	1625844742034	OK	 
GROUP	ChatTranscript	1625844741948	1625844742034	86	OK
REQUEST	Authenticate	Authenticate	1625844741795	1625844742057	OK	 
GROUP	Authenticate	1625844741794	1625844742057	262	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844741317	1625844742237	OK	 
GROUP	GetStarUIMemberList	1625844741317	1625844742237	920	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844741313	1625844742243	OK	 
GROUP	GetStarUIMemberList	1625844741312	1625844742244	930	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625844741654	1625844742279	OK	 
GROUP	GetEpisodeOfCare	1625844741653	1625844742279	625	OK
REQUEST	GetStarNote	GetStarNote	1625844742058	1625844742415	OK	 
GROUP	GetStarNote	1625844742058	1625844742416	357	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844742413	1625844742795	OK	 
GROUP	GetStarUIMemberDetail	1625844742412	1625844742796	382	OK
REQUEST	GetStarNote	GetStarNote	1625844742727	1625844742917	OK	 
GROUP	GetStarNote	1625844742726	1625844742918	190	OK
REQUEST	GetStarNote	GetStarNote	1625844743104	1625844743239	OK	 
GROUP	GetStarNote	1625844743103	1625844743240	135	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625844743287	1625844743675	OK	 
GROUP	GetStarUIMemberDetail	1625844743286	1625844743676	388	OK
REQUEST	ChatTranscript	ChatTranscript	1625844744087	1625844744211	OK	 
GROUP	ChatTranscript	1625844744086	1625844744212	124	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625844743469	1625844744227	OK	 
