RUN	StarTest.Framework.StarSim	starsim	1625963733647	StarTest.Framework.StarSim-SIMULATION_1_20:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1625963755056
REQUEST	Authenticate	Authenticate	1625963755074	1625963755542	OK	 
GROUP	Authenticate	1625963755059	1625963755564	468	OK
REQUEST	GetStarNote	GetStarNote	1625963755572	1625963755944	OK	 
GROUP	GetStarNote	1625963755566	1625963755947	372	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625963758581	1625963759628	OK	 
GROUP	GetEpisodeOfCare	1625963758578	1625963759629	1047	OK
USER	Users_1	START	1625963761048
REQUEST	Authenticate	Authenticate	1625963761049	1625963761316	OK	 
GROUP	Authenticate	1625963761048	1625963761317	267	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625963760752	1625963761472	OK	 
GROUP	GetStarUIMemberList	1625963760751	1625963761473	720	OK
REQUEST	GetStarNote	GetStarNote	1625963761318	1625963761673	OK	 
GROUP	GetStarNote	1625963761318	1625963761674	355	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625963763422	1625963763855	OK	 
GROUP	GetStarUIMemberDetail	1625963763421	1625963763856	433	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625963764272	1625963765189	OK	 
GROUP	GetEpisodeOfCare	1625963764271	1625963765190	917	OK
USER	Users_1	START	1625963767052
REQUEST	Authenticate	Authenticate	1625963767053	1625963767313	OK	 
GROUP	Authenticate	1625963767052	1625963767314	260	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625963766968	1625963767636	OK	 
GROUP	GetStarUIMemberList	1625963766967	1625963767637	668	OK
REQUEST	GetStarNote	GetStarNote	1625963767315	1625963767655	OK	 
GROUP	GetStarNote	1625963767315	1625963767656	340	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625963769748	1625963770617	OK	 
GROUP	GetStarUIMemberDetail	1625963769747	1625963770618	869	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625963769864	1625963770617	OK	 
GROUP	GetEpisodeOfCare	1625963769863	1625963770618	753	OK
REQUEST	ChatTranscript	ChatTranscript	1625963765517	1625963770629	OK	 
GROUP	ChatTranscript	1625963765516	1625963770629	5112	OK
REQUEST	ChatTranscript	ChatTranscript	1625963772578	1625963772659	OK	 
GROUP	ChatTranscript	1625963772577	1625963772660	81	OK
USER	Users_1	START	1625963773050
REQUEST	Authenticate	Authenticate	1625963773051	1625963773311	OK	 
GROUP	Authenticate	1625963773050	1625963773312	260	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625963772921	1625963773618	OK	 
GROUP	GetStarUIMemberList	1625963772919	1625963773619	697	OK
REQUEST	GetStarNote	GetStarNote	1625963773313	1625963773670	OK	 
GROUP	GetStarNote	1625963773312	1625963773671	357	OK
REQUEST	GetStarNote	GetStarNote	1625963775207	1625963775598	OK	 
GROUP	GetStarNote	1625963775206	1625963775600	391	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625963775209	1625963775625	OK	 
GROUP	GetEpisodeOfCare	1625963775208	1625963775626	416	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625963775397	1625963775788	OK	 
GROUP	GetStarUIMemberDetail	1625963775396	1625963775789	391	OK
REQUEST	ChatTranscript	ChatTranscript	1625963776964	1625963777197	OK	 
GROUP	ChatTranscript	1625963776963	1625963777198	233	OK
REQUEST	GetStarNote	GetStarNote	1625963772065	1625963777532	OK	 
GROUP	GetStarNote	1625963772064	1625963777533	5467	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625963777131	1625963778072	OK	 
GROUP	GetStarUIMemberList	1625963777130	1625963778073	941	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625963777580	1625963778252	OK	 
GROUP	GetEpisodeOfCare	1625963777580	1625963778253	672	OK
USER	Users_1	START	1625963779048
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625963778827	1625963779518	OK	 
GROUP	GetEpisodeOfCare	1625963778826	1625963779519	691	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625963779585	1625963779959	OK	 
GROUP	GetStarUIMemberDetail	1625963779584	1625963779960	374	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625963779261	1625963780050	OK	 
GROUP	GetStarUIMemberList	1625963779260	1625963780051	789	OK
REQUEST	GetStarNote	GetStarNote	1625963778297	1625963780357	OK	 
GROUP	GetStarNote	1625963778296	1625963780358	2060	OK
REQUEST	Authenticate	Authenticate	1625963779049	1625963780471	OK	 
GROUP	Authenticate	1625963779049	1625963780472	1422	OK
REQUEST	GetStarNote	GetStarNote	1625963780473	1625963780817	OK	 
GROUP	GetStarNote	1625963780473	1625963780818	344	OK
REQUEST	ChatTranscript	ChatTranscript	1625963781033	1625963781362	OK	 
GROUP	ChatTranscript	1625963781032	1625963781363	329	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625963782302	1625963782737	OK	 
GROUP	GetEpisodeOfCare	1625963782301	1625963782738	435	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625963781999	1625963782967	OK	 
GROUP	GetStarUIMemberList	1625963781998	1625963782968	968	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625963782545	1625963782975	OK	 
GROUP	GetEpisodeOfCare	1625963782544	1625963782976	430	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625963782810	1625963783515	OK	 
GROUP	GetStarUIMemberDetail	1625963782809	1625963783516	705	OK
REQUEST	GetStarNote	GetStarNote	1625963784129	1625963784347	OK	 
GROUP	GetStarNote	1625963784128	1625963784348	218	OK
USER	Users_1	START	1625963785048
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625963784295	1625963785132	OK	 
GROUP	GetStarUIMemberList	1625963784294	1625963785133	837	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625963785027	1625963785934	OK	 
GROUP	GetStarUIMemberDetail	1625963785026	1625963785934	907	OK
REQUEST	Authenticate	Authenticate	1625963785049	1625963785995	OK	 
GROUP	Authenticate	1625963785049	1625963785996	946	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625963784712	1625963786067	OK	 
GROUP	GetStarUIMemberList	1625963784711	1625963786068	1355	OK
REQUEST	ChatTranscript	ChatTranscript	1625963786078	1625963786155	OK	 
GROUP	ChatTranscript	1625963786077	1625963786155	77	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625963785628	1625963786180	OK	 
GROUP	GetEpisodeOfCare	1625963785627	1625963786180	552	OK
REQUEST	GetStarNote	GetStarNote	1625963785996	1625963786352	OK	 
GROUP	GetStarNote	1625963785996	1625963786353	356	OK
REQUEST	ChatTranscript	ChatTranscript	1625963786972	1625963787051	OK	 
GROUP	ChatTranscript	1625963786972	1625963787052	79	OK
REQUEST	GetStarNote	GetStarNote	1625963787201	1625963787339	OK	 
GROUP	GetStarNote	1625963787200	1625963787340	138	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625963787248	1625963787657	OK	 
GROUP	GetStarUIMemberDetail	1625963787247	1625963787658	409	OK
