RUN	JJ.Framework.JJSim	jjsim	1622757373380	JJ.Framework.JJSim-SIMULATION_1_0:SIMULATION_2_2:SIMULATION_3_0:SIMULATION_4_:Iterations_600	3.5.1
USER	Users_2	START	1622757374730
USER	Users_2	START	1622757375227
REQUEST	TIN,TIN	TIN_391139101	1622757375228	1622757384184	OK	 
GROUP	TIN,TIN	1622757375227	1622757384212	8956	OK
REQUEST	TIN,TIN	TIN_391139101	1622757374753	1622757384289	OK	 
GROUP	TIN,TIN	1622757374735	1622757384291	9536	OK
GROUP	TIN	1622757375227	1622757385291	8956	OK
GROUP	TIN	1622757374733	1622757385959	9536	OK
REQUEST	TIN,TIN	TIN_391139101	1622757385295	1622757389207	OK	 
GROUP	TIN,TIN	1622757385293	1622757389210	3912	OK
REQUEST	TIN,TIN	TIN_391139101	1622757385960	1622757389368	OK	 
GROUP	TIN,TIN	1622757385959	1622757389371	3408	OK
GROUP	TIN	1622757385959	1622757390924	3408	OK
GROUP	TIN	1622757385291	1622757391206	3912	OK
REQUEST	TIN,TIN	TIN_391139101	1622757390926	1622757394049	OK	 
GROUP	TIN,TIN	1622757390925	1622757394051	3123	OK
REQUEST	TIN,TIN	TIN_391139101	1622757391207	1622757394605	OK	 
GROUP	TIN,TIN	1622757391207	1622757394607	3398	OK
GROUP	TIN	1622757390924	1622757395961	3123	OK
GROUP	TIN	1622757391206	1622757396241	3398	OK
REQUEST	TIN,TIN	TIN_391139101	1622757395962	1622757399257	OK	 
GROUP	TIN,TIN	1622757395962	1622757399258	3295	OK
REQUEST	TIN,TIN	TIN_391139101	1622757396242	1622757399546	OK	 
GROUP	TIN,TIN	1622757396241	1622757399548	3304	OK
GROUP	TIN	1622757396241	1622757400683	3304	OK
GROUP	TIN	1622757395961	1622757400771	3295	OK
REQUEST	TIN,TIN	TIN_391139101	1622757400685	1622757403951	OK	 
GROUP	TIN,TIN	1622757400684	1622757403953	3266	OK
REQUEST	TIN,TIN	TIN_391139101	1622757400772	1622757403958	OK	 
GROUP	TIN,TIN	1622757400771	1622757403960	3186	OK
GROUP	TIN	1622757400684	1622757404974	3266	OK
GROUP	TIN	1622757400771	1622757405326	3186	OK
REQUEST	TIN,TIN	TIN_391139101	1622757405327	1622757408665	OK	 
GROUP	TIN,TIN	1622757405326	1622757408667	3338	OK
REQUEST	TIN,TIN	TIN_391139101	1622757404975	1622757408760	OK	 
GROUP	TIN,TIN	1622757404975	1622757408762	3785	OK
GROUP	TIN	1622757404974	1622757409949	3785	OK
GROUP	TIN	1622757405326	1622757410129	3338	OK
REQUEST	TIN,TIN	TIN_391139101	1622757409950	1622757413542	OK	 
GROUP	TIN,TIN	1622757409949	1622757413544	3592	OK
REQUEST	TIN,TIN	TIN_391139101	1622757410130	1622757413601	OK	 
GROUP	TIN,TIN	1622757410130	1622757413602	3471	OK
GROUP	TIN	1622757409949	1622757415202	3592	OK
GROUP	TIN	1622757410129	1622757415266	3471	OK
