RUN	StarTest.Framework.StarSim	starsim	1624550904922	StarTest.Framework.StarSim-SIMULATION_1_1:SIMULATION_2_0:SIMULATION_3_0:Iterations_2	3.5.1
USER	Users_1	START	1624550906319
REQUEST	StarAPI,LOGIN	LOGIN	1624550906337	1624550906613	OK	 
GROUP	StarAPI,LOGIN	1624550906322	1624550906631	276	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624550906638	1624550907023	OK	 
GROUP	StarAPI,GetStarNote	1624550906634	1624550907026	385	OK
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624550908054	1624550908446	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624550908052	1624550908447	392	OK
REQUEST	StarAPI,GetStarUIMemberList	GetStarUIMemberList	1624550909566	1624550910594	OK	 
GROUP	StarAPI,GetStarUIMemberList	1624550909565	1624550910596	1028	OK
REQUEST	StarAPI,GetStarUIMemberDetail	GetStarUIMemberDetail	1624550912187	1624550912686	OK	 
GROUP	StarAPI,GetStarUIMemberDetail	1624550912185	1624550912687	499	OK
REQUEST	StarAPI,ChatTranscript	ChatTranscript	1624550913965	1624550914070	OK	 
GROUP	StarAPI,ChatTranscript	1624550913964	1624550914071	105	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624550915492	1624550915861	OK	 
GROUP	StarAPI,GetStarNote	1624550915491	1624550915862	369	OK
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624550916967	1624550917396	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624550916966	1624550917397	429	OK
REQUEST	StarAPI,GetStarUIMemberList	GetStarUIMemberList	1624550919239	1624550920020	OK	 
GROUP	StarAPI,GetStarUIMemberList	1624550919238	1624550920022	781	OK
REQUEST	StarAPI,GetStarUIMemberDetail	GetStarUIMemberDetail	1624550921684	1624550922088	OK	 
GROUP	StarAPI,GetStarUIMemberDetail	1624550921683	1624550922089	404	OK
REQUEST	StarAPI,ChatTranscript	ChatTranscript	1624550923173	1624550923263	OK	 
GROUP	StarAPI,ChatTranscript	1624550923172	1624550923264	90	OK
GROUP	StarAPI	1624550906321	1624550925179	4758	OK
USER	Users_1	END	1624550925183
