RUN	StarTest.Framework.StarSim	starsim	1626709781538	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1626709783109
REQUEST	Authenticate	Authenticate	1626709783137	1626709783530	OK	 
GROUP	Authenticate	1626709783112	1626709783553	393	OK
REQUEST	GetStarNote	GetStarNote	1626709783564	1626709786190	OK	 
GROUP	GetStarNote	1626709783556	1626709786193	2626	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1626709787837	1626709788405	OK	 
GROUP	GetEpisodeOfCare	1626709787836	1626709788406	568	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1626709791218	1626709792151	OK	 
GROUP	GetStarUIMemberList	1626709791217	1626709792152	933	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1626709793237	1626709793730	OK	 
GROUP	GetStarUIMemberDetail	1626709793236	1626709793731	493	OK
USER	Users_1	START	1626709795096
REQUEST	Authenticate	Authenticate	1626709795096	1626709795391	OK	 
GROUP	Authenticate	1626709795096	1626709795393	295	OK
REQUEST	GetStarNote	GetStarNote	1626709795394	1626709795785	OK	 
GROUP	GetStarNote	1626709795393	1626709795786	391	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1626709797780	1626709798236	OK	 
GROUP	GetEpisodeOfCare	1626709797780	1626709798237	456	OK
REQUEST	ChatTranscript	ChatTranscript	1626709796733	1626709801905	OK	 
GROUP	ChatTranscript	1626709796733	1626709801905	5172	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1626709800837	1626709801938	OK	 
GROUP	GetStarUIMemberList	1626709800837	1626709801939	1101	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1626709804106	1626709804725	OK	 
GROUP	GetStarUIMemberDetail	1626709804106	1626709804726	619	OK
REQUEST	GetStarNote	GetStarNote	1626709804693	1626709804907	OK	 
GROUP	GetStarNote	1626709804693	1626709804908	214	OK
USER	Users_1	START	1626709807097
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1626709806663	1626709807138	OK	 
GROUP	GetEpisodeOfCare	1626709806662	1626709807139	475	OK
REQUEST	ChatTranscript	ChatTranscript	1626709807205	1626709807306	OK	 
GROUP	ChatTranscript	1626709807204	1626709807307	101	OK
REQUEST	Authenticate	Authenticate	1626709807097	1626709807367	OK	 
GROUP	Authenticate	1626709807097	1626709807368	270	OK
REQUEST	GetStarNote	GetStarNote	1626709809714	1626709809905	OK	 
GROUP	GetStarNote	1626709809714	1626709809906	191	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1626709809233	1626709810280	OK	 
GROUP	GetStarUIMemberList	1626709809232	1626709810281	1047	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1626709812716	1626709813187	OK	 
GROUP	GetEpisodeOfCare	1626709812716	1626709813188	471	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1626709813220	1626709813622	OK	 
GROUP	GetStarUIMemberDetail	1626709813220	1626709813623	402	OK
REQUEST	GetStarNote	GetStarNote	1626709807368	1626709813762	OK	 
GROUP	GetStarNote	1626709807368	1626709813763	6394	OK
REQUEST	ChatTranscript	ChatTranscript	1626709816551	1626709816847	OK	 
GROUP	ChatTranscript	1626709816550	1626709816848	296	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1626709816457	1626709816994	OK	 
GROUP	GetEpisodeOfCare	1626709816456	1626709816995	537	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1626709816155	1626709817553	OK	 
GROUP	GetStarUIMemberList	1626709816155	1626709817554	1398	OK
REQUEST	GetStarNote	GetStarNote	1626709818207	1626709818922	OK	 
GROUP	GetStarNote	1626709818207	1626709818923	715	OK
USER	Users_1	START	1626709819101
REQUEST	Authenticate	Authenticate	1626709819101	1626709819370	OK	 
GROUP	Authenticate	1626709819101	1626709819371	269	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1626709819348	1626709819781	OK	 
GROUP	GetStarUIMemberDetail	1626709819348	1626709819782	433	OK
REQUEST	GetStarNote	GetStarNote	1626709819371	1626709819828	OK	 
GROUP	GetStarNote	1626709819371	1626709819829	457	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1626709818212	1626709819877	OK	 
GROUP	GetStarUIMemberList	1626709818212	1626709819877	1665	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1626709821058	1626709821481	OK	 
GROUP	GetEpisodeOfCare	1626709821057	1626709821482	423	OK
REQUEST	ChatTranscript	ChatTranscript	1626709821646	1626709821730	OK	 
GROUP	ChatTranscript	1626709821646	1626709821730	84	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1626709822124	1626709822519	OK	 
