RUN	JJ.Framework.JJSim	jjsim	1622665839250	JJ.Framework.JJSim-SIMULATION_1_1:SIMULATION_2_0:SIMULATION_3_0:SIMULATION_4_0:Iterations_100	3.5.1
USER	Users_1	START	1622665840845
REQUEST	NPI,NPI	NPI_1245318229	1622665840868	1622665846384	OK	 
GROUP	NPI,NPI	1622665840850	1622665846426	5516	OK
GROUP	NPI	1622665840848	1622665847894	5516	OK
REQUEST	NPI,NPI	NPI_1821049651	1622665847900	1622665848271	OK	 
GROUP	NPI,NPI	1622665847896	1622665848272	371	OK
GROUP	NPI	1622665847895	1622665849971	371	OK
REQUEST	NPI,NPI	NPI_1114976883	1622665849972	1622665850266	OK	 
GROUP	NPI,NPI	1622665849972	1622665850268	294	OK
GROUP	NPI	1622665849971	1622665852134	294	OK
REQUEST	NPI,NPI	NPI_1740270032	1622665852135	1622665852283	OK	 
GROUP	NPI,NPI	1622665852134	1622665852284	148	OK
GROUP	NPI	1622665852134	1622665854282	148	OK
REQUEST	NPI,NPI	NPI_1245419696	1622665854283	1622665854451	OK	 
GROUP	NPI,NPI	1622665854282	1622665854452	168	OK
GROUP	NPI	1622665854282	1622665855796	168	OK
REQUEST	NPI,NPI	NPI_1942331400	1622665855797	1622665856010	OK	 
GROUP	NPI,NPI	1622665855797	1622665856011	213	OK
GROUP	NPI	1622665855796	1622665857609	213	OK
REQUEST	NPI,NPI	NPI_1144239955	1622665857610	1622665857799	OK	 
GROUP	NPI,NPI	1622665857610	1622665857801	189	OK
GROUP	NPI	1622665857609	1622665859018	189	OK
REQUEST	NPI,NPI	NPI_1538137419	1622665859019	1622665859187	OK	 
GROUP	NPI,NPI	1622665859019	1622665859188	168	OK
GROUP	NPI	1622665859018	1622665860764	168	OK
REQUEST	NPI,NPI	NPI_1306830377	1622665860765	1622665860948	OK	 
GROUP	NPI,NPI	1622665860765	1622665860949	183	OK
GROUP	NPI	1622665860765	1622665862297	183	OK
REQUEST	NPI,NPI	NPI_1962487256	1622665862298	1622665862686	OK	 
GROUP	NPI,NPI	1622665862298	1622665862687	388	OK
GROUP	NPI	1622665862297	1622665864171	388	OK
REQUEST	NPI,NPI	NPI_1902890692	1622665864173	1622665864593	OK	 
GROUP	NPI,NPI	1622665864172	1622665864594	420	OK
GROUP	NPI	1622665864172	1622665865834	420	OK
