RUN	Optum.Framework.OptumSim	optumsim	1625757321023	Optum.Framework.OptumSim-SIMULATION_1_2:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1625757322427
REQUEST	,Login		1625757322443	1625757322784	OK	 
REQUEST	,Login	favicon.ico	1625757322832	1625757323074	OK	 
REQUEST	,Login	styles-es5.8dcb7b1cdd5d944ad068.js	1625757323075	1625757323178	OK	 
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625757322833	1625757323254	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625757322833	1625757323266	OK	 
REQUEST	,Login	icon?family=Material+Icons	1625757322835	1625757323270	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625757322834	1625757323356	OK	 
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625757322834	1625757323520	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625757322834	1625757323596	OK	 
REQUEST	,Login	main-es2015.8a12e6f1e5b08471ce36.js	1625757323179	1625757323907	OK	 
REQUEST	,Login	main-es5.8a12e6f1e5b08471ce36.js	1625757323255	1625757324142	OK	 
REQUEST	,Login		1625757324143	1625757324228	OK	 
REQUEST	,Login		1625757324230	1625757324313	OK	 
REQUEST	,Login		1625757324315	1625757324400	OK	 
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625757324407	1625757324490	OK	 
REQUEST	,Login	favicon.ico	1625757324407	1625757324491	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625757324407	1625757324492	OK	 
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625757324408	1625757324735	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625757324408	1625757324739	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625757324409	1625757324740	OK	 
REQUEST	,Login		1625757324740	1625757325293	OK	 
REQUEST	,Login		1625757325294	1625757325752	OK	 
GROUP	,Login	1625757322431	1625757325752	3252	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757326760	1625757327289	OK	 
GROUP	,SearchByActiveMember	1625757326759	1625757327289	529	OK
REQUEST	,SearchName_Name	Search_1	1625757328389	1625757328710	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757328714	1625757328934	OK	 
GROUP	,SearchName_Name	1625757328388	1625757328934	541	OK
REQUEST	,S_3231359	Select_Smith	1625757330238	1625757330346	OK	 
REQUEST	,S_3231359	request_1	1625757330350	1625757330809	OK	 
REQUEST	,S_3231359	request_3231359	1625757330811	1625757331079	OK	 
GROUP	,S_3231359	1625757330238	1625757331079	835	OK
REQUEST	,DrillDown_Smith	70078	1625757332287	1625757332441	OK	 
GROUP	,DrillDown_Smith	1625757332285	1625757332441	154	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757333980	1625757334199	OK	 
GROUP	,SearchByActiveMember	1625757333979	1625757334199	219	OK
REQUEST	,SearchName_Name	Search_1	1625757335213	1625757335791	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757335793	1625757336086	OK	 
GROUP	,SearchName_Name	1625757335212	1625757336086	871	OK
REQUEST	,S_3231359	Select_Smith	1625757337259	1625757337618	OK	 
REQUEST	,S_3231359	request_1	1625757337619	1625757338162	OK	 
REQUEST	,S_3231359	request_3231359	1625757338163	1625757338497	OK	 
GROUP	,S_3231359	1625757337258	1625757338497	1236	OK
REQUEST	,DrillDown_Smith	70078	1625757340411	1625757340912	OK	 
GROUP	,DrillDown_Smith	1625757340410	1625757340912	501	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757342451	1625757342888	OK	 
GROUP	,SearchByActiveMember	1625757342450	1625757342889	437	OK
REQUEST	,SearchName_Name	Search_1	1625757344798	1625757345064	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757345065	1625757345555	OK	 
GROUP	,SearchName_Name	1625757344797	1625757345555	756	OK
REQUEST	,S_3231359	Select_Smith	1625757347479	1625757347670	OK	 
REQUEST	,S_3231359	request_1	1625757347671	1625757348363	OK	 
REQUEST	,S_3231359	request_3231359	1625757348364	1625757348618	OK	 
GROUP	,S_3231359	1625757347478	1625757348618	1137	OK
REQUEST	,DrillDown_Smith	70078	1625757349893	1625757350029	OK	 
GROUP	,DrillDown_Smith	1625757349892	1625757350029	136	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757351047	1625757351496	OK	 
GROUP	,SearchByActiveMember	1625757351046	1625757351496	449	OK
USER	Users_1	START	1625757352419
REQUEST	,Login		1625757352420	1625757352764	OK	 
REQUEST	,Login	icon?family=Material+Icons	1625757352767	1625757353123	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625757352766	1625757353126	OK	 
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625757352766	1625757353130	OK	 
REQUEST	,Login	favicon.ico	1625757352765	1625757353191	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625757352767	1625757353203	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625757352767	1625757353384	OK	 
REQUEST	,Login	styles-es5.8dcb7b1cdd5d944ad068.js	1625757353127	1625757353396	OK	 
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625757352767	1625757353513	OK	 
REQUEST	,SearchName_Name	Search_1	1625757353292	1625757353550	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757353551	1625757353801	OK	 
GROUP	,SearchName_Name	1625757353291	1625757353801	508	OK
REQUEST	,Login	main-es2015.8a12e6f1e5b08471ce36.js	1625757353131	1625757354016	OK	 
REQUEST	,Login	main-es5.8a12e6f1e5b08471ce36.js	1625757353192	1625757354619	OK	 
REQUEST	,Login		1625757354619	1625757354700	OK	 
REQUEST	,Login		1625757354701	1625757354785	OK	 
REQUEST	,Login		1625757354786	1625757354866	OK	 
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625757354868	1625757354953	OK	 
REQUEST	,Login	favicon.ico	1625757354868	1625757354954	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625757354869	1625757354954	OK	 
REQUEST	,S_3231359	Select_Smith	1625757355092	1625757355189	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625757354870	1625757355203	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625757354870	1625757355206	OK	 
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625757354869	1625757355206	OK	 
REQUEST	,Login		1625757355207	1625757355764	OK	 
REQUEST	,S_3231359	request_1	1625757355190	1625757355813	OK	 
REQUEST	,S_3231359	request_3231359	1625757355814	1625757356121	OK	 
GROUP	,S_3231359	1625757355091	1625757356121	1027	OK
REQUEST	,Login		1625757355765	1625757356124	OK	 
GROUP	,Login	1625757352420	1625757356125	3699	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757357128	1625757357274	OK	 
GROUP	,SearchByActiveMember	1625757357127	1625757357275	146	OK
REQUEST	,DrillDown_Smith	70078	1625757357853	1625757358002	OK	 
GROUP	,DrillDown_Smith	1625757357853	1625757358002	149	OK
REQUEST	,SearchName_Name	Search_1	1625757358572	1625757358859	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757358860	1625757359121	OK	 
GROUP	,SearchName_Name	1625757358571	1625757359121	548	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757359339	1625757359488	OK	 
GROUP	,SearchByActiveMember	1625757359338	1625757359488	149	OK
REQUEST	,S_3231359	Select_Smith	1625757360496	1625757360609	OK	 
REQUEST	,S_3231359	request_1	1625757360610	1625757361080	OK	 
REQUEST	,S_3231359	request_3231359	1625757361081	1625757361320	OK	 
GROUP	,S_3231359	1625757360496	1625757361321	822	OK
REQUEST	,SearchName_Name	Search_1	1625757361209	1625757361468	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757361469	1625757361798	OK	 
GROUP	,SearchName_Name	1625757361208	1625757361799	588	OK
REQUEST	,DrillDown_Smith	70078	1625757362693	1625757362855	OK	 
GROUP	,DrillDown_Smith	1625757362692	1625757362855	162	OK
REQUEST	,S_3231359	Select_Smith	1625757362829	1625757362935	OK	 
REQUEST	,S_3231359	request_1	1625757362936	1625757363437	OK	 
REQUEST	,S_3231359	request_3231359	1625757363438	1625757363846	OK	 
GROUP	,S_3231359	1625757362828	1625757363846	1015	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757364217	1625757364361	OK	 
GROUP	,SearchByActiveMember	1625757364217	1625757364362	144	OK
REQUEST	,DrillDown_Smith	70078	1625757365600	1625757365825	OK	 
GROUP	,DrillDown_Smith	1625757365599	1625757365826	225	OK
REQUEST	,SearchName_Name	Search_1	1625757365554	1625757365866	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757365866	1625757366103	OK	 
GROUP	,SearchName_Name	1625757365554	1625757366103	549	OK
REQUEST	,S_3231359	Select_Smith	1625757367266	1625757367379	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757367559	1625757367958	OK	 
GROUP	,SearchByActiveMember	1625757367559	1625757367958	399	OK
REQUEST	,S_3231359	request_1	1625757367380	1625757368052	OK	 
REQUEST	,S_3231359	request_3231359	1625757368053	1625757368291	OK	 
GROUP	,S_3231359	1625757367265	1625757368292	1023	OK
REQUEST	,SearchName_Name	Search_1	1625757369198	1625757369459	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757369460	1625757369720	OK	 
GROUP	,SearchName_Name	1625757369197	1625757369721	521	OK
REQUEST	,DrillDown_Smith	70078	1625757369553	1625757369757	OK	 
GROUP	,DrillDown_Smith	1625757369552	1625757369757	204	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757370959	1625757371134	OK	 
GROUP	,SearchByActiveMember	1625757370959	1625757371134	175	OK
REQUEST	,S_3231359	Select_Smith	1625757371279	1625757371386	OK	 
REQUEST	,S_3231359	request_1	1625757371387	1625757372038	OK	 
REQUEST	,S_3231359	request_3231359	1625757372039	1625757372346	OK	 
GROUP	,S_3231359	1625757371278	1625757372346	1065	OK
REQUEST	,SearchName_Name	Search_1	1625757372917	1625757373572	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757373573	1625757373800	OK	 
GROUP	,SearchName_Name	1625757372917	1625757373801	882	OK
REQUEST	,DrillDown_Smith	70078	1625757373922	1625757374049	OK	 
GROUP	,DrillDown_Smith	1625757373921	1625757374049	127	OK
REQUEST	,S_3231359	Select_Smith	1625757374987	1625757375099	OK	 
REQUEST	,S_3231359	request_1	1625757375099	1625757375517	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757375524	1625757375650	OK	 
GROUP	,SearchByActiveMember	1625757375523	1625757375651	126	OK
REQUEST	,S_3231359	request_3231359	1625757375518	1625757375763	OK	 
GROUP	,S_3231359	1625757374986	1625757375764	775	OK
REQUEST	,SearchName_Name	Search_1	1625757377124	1625757377394	OK	 
REQUEST	,DrillDown_Smith	70078	1625757377411	1625757377533	OK	 
GROUP	,DrillDown_Smith	1625757377410	1625757377533	122	OK
REQUEST	,SearchName_Name	Search_3231359	1625757377394	1625757377868	OK	 
GROUP	,SearchName_Name	1625757377123	1625757377868	744	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757378800	1625757379219	OK	 
GROUP	,SearchByActiveMember	1625757378799	1625757379219	419	OK
REQUEST	,S_3231359	Select_Smith	1625757379218	1625757379314	OK	 
REQUEST	,S_3231359	request_1	1625757379315	1625757379923	OK	 
REQUEST	,S_3231359	request_3231359	1625757379924	1625757380433	OK	 
GROUP	,S_3231359	1625757379217	1625757380433	1213	OK
REQUEST	,SearchName_Name	Search_1	1625757380830	1625757381070	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757381071	1625757381462	OK	 
GROUP	,SearchName_Name	1625757380829	1625757381462	631	OK
REQUEST	,DrillDown_Smith	70078	1625757382237	1625757382418	OK	 
GROUP	,DrillDown_Smith	1625757382236	1625757382418	181	OK
REQUEST	,S_3231359	Select_Smith	1625757383315	1625757383673	OK	 
REQUEST	,S_3231359	request_1	1625757383673	1625757384147	OK	 
REQUEST	,S_3231359	request_3231359	1625757384148	1625757384394	OK	 
GROUP	,S_3231359	1625757383314	1625757384394	1078	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757383677	1625757385146	OK	 
GROUP	,SearchByActiveMember	1625757383677	1625757385147	1469	OK
REQUEST	,DrillDown_Smith	70078	1625757385815	1625757385951	OK	 
GROUP	,DrillDown_Smith	1625757385815	1625757385952	136	OK
REQUEST	,SearchName_Name	Search_1	1625757386342	1625757386558	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757386559	1625757386770	OK	 
GROUP	,SearchName_Name	1625757386341	1625757386770	427	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757387263	1625757387425	OK	 
GROUP	,SearchByActiveMember	1625757387262	1625757387426	162	OK
REQUEST	,S_3231359	Select_Smith	1625757388464	1625757388557	OK	 
REQUEST	,S_3231359	request_1	1625757388558	1625757389429	OK	 
REQUEST	,S_3231359	request_3231359	1625757389429	1625757389665	OK	 
GROUP	,S_3231359	1625757388463	1625757389665	1200	OK
REQUEST	,SearchName_Name	Search_1	1625757389417	1625757389972	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757389973	1625757390570	OK	 
GROUP	,SearchName_Name	1625757389416	1625757390570	1152	OK
REQUEST	,DrillDown_Smith	70078	1625757391463	1625757391635	OK	 
GROUP	,DrillDown_Smith	1625757391463	1625757391636	172	OK
REQUEST	,S_3231359	Select_Smith	1625757392393	1625757392494	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757392879	1625757393080	OK	 
GROUP	,SearchByActiveMember	1625757392878	1625757393080	201	OK
REQUEST	,S_3231359	request_1	1625757392495	1625757393093	OK	 
REQUEST	,S_3231359	request_3231359	1625757393094	1625757393325	OK	 
GROUP	,S_3231359	1625757392392	1625757393326	930	OK
REQUEST	,DrillDown_Smith	70078	1625757394419	1625757394563	OK	 
GROUP	,DrillDown_Smith	1625757394419	1625757394564	144	OK
REQUEST	,SearchName_Name	Search_1	1625757394418	1625757394754	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757394755	1625757394980	OK	 
GROUP	,SearchName_Name	1625757394418	1625757394980	561	OK
REQUEST	,S_3231359	Select_Smith	1625757396052	1625757396155	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757396154	1625757396425	OK	 
GROUP	,SearchByActiveMember	1625757396154	1625757396426	271	OK
REQUEST	,S_3231359	request_1	1625757396155	1625757397025	OK	 
REQUEST	,S_3231359	request_3231359	1625757397026	1625757397329	OK	 
GROUP	,S_3231359	1625757396051	1625757397330	1276	OK
REQUEST	,SearchName_Name	Search_1	1625757397786	1625757398255	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757398256	1625757398470	OK	 
GROUP	,SearchName_Name	1625757397785	1625757398470	683	OK
REQUEST	,DrillDown_Smith	70078	1625757398638	1625757398788	OK	 
GROUP	,DrillDown_Smith	1625757398637	1625757398788	150	OK
REQUEST	,S_3231359	Select_Smith	1625757400286	1625757400592	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757400536	1625757400701	OK	 
GROUP	,SearchByActiveMember	1625757400535	1625757400701	165	OK
REQUEST	,S_3231359	request_1	1625757400593	1625757401121	OK	 
REQUEST	,S_3231359	request_3231359	1625757401121	1625757401388	OK	 
GROUP	,S_3231359	1625757400285	1625757401388	1101	OK
REQUEST	,SearchName_Name	Search_1	1625757402099	1625757402500	OK	 
REQUEST	,DrillDown_Smith	70078	1625757402416	1625757402681	OK	 
GROUP	,DrillDown_Smith	1625757402415	1625757402681	265	OK
REQUEST	,SearchName_Name	Search_3231359	1625757402501	1625757403231	OK	 
GROUP	,SearchName_Name	1625757402098	1625757403231	1131	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757403959	1625757404790	OK	 
GROUP	,SearchByActiveMember	1625757403959	1625757404790	831	OK
REQUEST	,S_3231359	Select_Smith	1625757405109	1625757405302	OK	 
REQUEST	,S_3231359	request_1	1625757405303	1625757405672	OK	 
REQUEST	,S_3231359	request_3231359	1625757405673	1625757405909	OK	 
GROUP	,S_3231359	1625757405109	1625757405910	798	OK
REQUEST	,SearchName_Name	Search_1	1625757406175	1625757406506	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757406507	1625757406817	OK	 
GROUP	,SearchName_Name	1625757406175	1625757406817	641	OK
REQUEST	,DrillDown_Smith	70078	1625757407566	1625757407727	OK	 
GROUP	,DrillDown_Smith	1625757407565	1625757407727	161	OK
REQUEST	,S_3231359	Select_Smith	1625757408143	1625757408253	OK	 
REQUEST	,S_3231359	request_1	1625757408254	1625757409162	OK	 
REQUEST	,S_3231359	request_3231359	1625757409163	1625757409415	OK	 
GROUP	,S_3231359	1625757408142	1625757409416	1270	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757409587	1625757409747	OK	 
GROUP	,SearchByActiveMember	1625757409586	1625757409747	160	OK
REQUEST	,DrillDown_Smith	70078	1625757410956	1625757411074	OK	 
GROUP	,DrillDown_Smith	1625757410955	1625757411075	118	OK
REQUEST	,SearchName_Name	Search_1	1625757411035	1625757411565	OK	 
REQUEST	,SearchName_Name	Search_3231359	1625757411565	1625757411872	OK	 
GROUP	,SearchName_Name	1625757411035	1625757411872	837	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625757412119	1625757412347	OK	 
GROUP	,SearchByActiveMember	1625757412118	1625757412348	228	OK
REQUEST	,S_3231359	Select_Smith	1625757412898	1625757413045	OK	 
