RUN	StarTest.Framework.StarSim	starsim	1625588522199	StarTest.Framework.StarSim-SIMULATION_1_30:SIMULATION_2_0:SIMULATION_3_0:Iterations_200	3.5.1
USER	Users_1	START	1625588523652
REQUEST	LOGIN	LOGIN	1625588523669	1625588523992	OK	 
GROUP	LOGIN	1625588523654	1625588524011	323	OK
REQUEST	GetStarNote	GetStarNote	1625588524017	1625588524371	OK	 
GROUP	GetStarNote	1625588524013	1625588524373	354	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625588526195	1625588526667	OK	 
GROUP	GetEpisodeOfCare	1625588526192	1625588526669	472	OK
USER	Users_1	START	1625588527646
REQUEST	LOGIN	LOGIN	1625588527647	1625588528000	OK	 
GROUP	LOGIN	1625588527646	1625588528001	353	OK
REQUEST	GetStarNote	GetStarNote	1625588528002	1625588528457	OK	 
GROUP	GetStarNote	1625588528002	1625588528459	455	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625588529548	1625588530412	OK	 
GROUP	GetStarUIMemberList	1625588529548	1625588530413	864	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625588530740	1625588531122	OK	 
GROUP	GetEpisodeOfCare	1625588530739	1625588531123	382	OK
USER	Users_1	START	1625588531646
REQUEST	LOGIN	LOGIN	1625588531647	1625588531927	OK	 
GROUP	LOGIN	1625588531646	1625588531928	280	OK
REQUEST	GetStarNote	GetStarNote	1625588531929	1625588532312	OK	 
GROUP	GetStarNote	1625588531929	1625588532313	383	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625588532301	1625588532709	OK	 
GROUP	GetStarUIMemberDetail	1625588532300	1625588532710	408	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625588533849	1625588534348	OK	 
GROUP	GetEpisodeOfCare	1625588533848	1625588534349	499	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625588533337	1625588534446	OK	 
GROUP	GetStarUIMemberList	1625588533336	1625588534447	1109	OK
USER	Users_1	START	1625588535646
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625588535991	1625588536394	OK	 
GROUP	GetStarUIMemberDetail	1625588535990	1625588536394	403	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625588535697	1625588536449	OK	 
GROUP	GetStarUIMemberList	1625588535696	1625588536450	752	OK
REQUEST	ChatTranscript	ChatTranscript	1625588533907	1625588536529	OK	 
GROUP	ChatTranscript	1625588533907	1625588536530	2622	OK
REQUEST	LOGIN	LOGIN	1625588535647	1625588536908	OK	 
GROUP	LOGIN	1625588535646	1625588536909	1261	OK
REQUEST	GetStarNote	GetStarNote	1625588537697	1625588538057	OK	 
GROUP	GetStarNote	1625588537697	1625588538058	360	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625588538692	1625588539389	OK	 
GROUP	GetStarUIMemberDetail	1625588538691	1625588539390	697	OK
USER	Users_1	START	1625588539646
REQUEST	ChatTranscript	ChatTranscript	1625588539377	1625588539706	OK	 
GROUP	ChatTranscript	1625588539376	1625588539707	329	OK
REQUEST	LOGIN	LOGIN	1625588539647	1625588539937	OK	 
GROUP	LOGIN	1625588539646	1625588539938	290	OK
REQUEST	GetStarNote	GetStarNote	1625588539939	1625588540280	OK	 
GROUP	GetStarNote	1625588539939	1625588540281	341	OK
REQUEST	ChatTranscript	ChatTranscript	1625588540465	1625588540542	OK	 
GROUP	ChatTranscript	1625588540464	1625588540543	77	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625588540430	1625588540822	OK	 
GROUP	GetEpisodeOfCare	1625588540429	1625588540823	392	OK
REQUEST	GetStarNote	GetStarNote	1625588536909	1625588542538	OK	 
GROUP	GetStarNote	1625588536909	1625588542539	5629	OK
REQUEST	GetStarNote	GetStarNote	1625588540761	1625588542538	OK	 
GROUP	GetStarNote	1625588540761	1625588542539	1777	OK
REQUEST	GetStarNote	GetStarNote	1625588542556	1625588542708	OK	 
GROUP	GetStarNote	1625588542555	1625588542709	152	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625588543159	1625588543603	OK	 
GROUP	GetEpisodeOfCare	1625588543158	1625588543604	444	OK
USER	Users_1	START	1625588543646
REQUEST	LOGIN	LOGIN	1625588543647	1625588543981	OK	 
GROUP	LOGIN	1625588543646	1625588543981	334	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625588543360	1625588544034	OK	 
GROUP	GetStarUIMemberList	1625588543358	1625588544035	674	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625588543710	1625588544094	OK	 
GROUP	GetEpisodeOfCare	1625588543709	1625588544095	384	OK
REQUEST	GetStarNote	GetStarNote	1625588543982	1625588544379	OK	 
