RUN	MarsTest.Framework.MarsSim	marssim	1623870366183	MarsTest.Framework.MarsSim-SIMULATION_1_1:SIMULATION_2_1:SIMULATION_3_1:Iterations_1	3.5.1
REQUEST	MarsTestALL / APIs,SearchByMetaData		1623870367631	1623870367632	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,SearchByMetaData	1623870367616	1623870367635	1	KO
USER	MarsTestALL	START	1623870367613
REQUEST	MarsTestALL / APIs,GetDocumentById		1623870368639	1623870368639	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,GetDocumentById	1623870368638	1623870368639	1	KO
REQUEST	MarsTestALL / APIs,FindAllStates		1623870369641	1623870369641	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,FindAllStates	1623870369640	1623870369641	1	KO
REQUEST	MarsTestALL / APIs,GetClusterByProviderType		1623870370642	1623870370642	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,GetClusterByProviderType	1623870370642	1623870370643	1	KO
REQUEST	MarsTestALL / APIs,GetProviderAddress		1623870371645	1623870371645	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,GetProviderAddress	1623870371644	1623870371645	1	KO
REQUEST	MarsTestALL / APIs,GetProviderName		1623870372647	1623870372648	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,GetProviderName	1623870372647	1623870372648	1	KO
REQUEST	MarsTestALL / APIs,GetCensus		1623870373651	1623870373652	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,GetCensus	1623870373651	1623870373652	1	KO
REQUEST	MarsTestALL / APIs,findMemberLinxById		1623870374657	1623870374658	KO	j.n.UnknownHostException: md-star-api-coho-qa.ocp-ctc-core-nonprod.optum.com
GROUP	MarsTestALL / APIs,findMemberLinxById	1623870374657	1623870374658	1	KO
GROUP	MarsTestALL / APIs	1623870367616	1623870375661	8	KO
USER	MarsTestALL	END	1623870375663
