RUN	JJ.Framework.JJSim	jjsim	1622757681280	JJ.Framework.JJSim-SIMULATION_1_0:SIMULATION_2_2:SIMULATION_3_0:SIMULATION_4_:Iterations_600	3.5.1
USER	Users_2	START	1622757682761
USER	Users_2	START	1622757683255
REQUEST	TIN,TIN	TIN_391139101	1622757682780	1622757691704	OK	 
GROUP	TIN,TIN	1622757682767	1622757691731	8924	OK
REQUEST	TIN,TIN	TIN_391139101	1622757683257	1622757692640	OK	 
GROUP	TIN,TIN	1622757683256	1622757692643	9383	OK
GROUP	TIN	1622757682764	1622757693346	8924	OK
GROUP	TIN	1622757683256	1622757694532	9383	OK
REQUEST	TIN,TIN	TIN_391139101	1622757693351	1622757696711	OK	 
GROUP	TIN,TIN	1622757693348	1622757696713	3360	OK
REQUEST	TIN,TIN	TIN_391139101	1622757694534	1622757698253	OK	 
GROUP	TIN,TIN	1622757694533	1622757698255	3719	OK
GROUP	TIN	1622757693347	1622757698279	3360	OK
GROUP	TIN	1622757694533	1622757700041	3719	OK
REQUEST	TIN,TIN	TIN_391139101	1622757698281	1622757701326	OK	 
GROUP	TIN,TIN	1622757698280	1622757701328	3045	OK
GROUP	TIN	1622757698279	1622757702380	3045	OK
REQUEST	TIN,TIN	TIN_391139101	1622757700043	1622757703565	OK	 
GROUP	TIN,TIN	1622757700042	1622757703566	3522	OK
GROUP	TIN	1622757700042	1622757704820	3522	OK
REQUEST	TIN,TIN	TIN_391139101	1622757702382	1622757706159	OK	 
GROUP	TIN,TIN	1622757702381	1622757706160	3777	OK
GROUP	TIN	1622757702381	1622757707585	3777	OK
REQUEST	TIN,TIN	TIN_391139101	1622757704821	1622757708292	OK	 
GROUP	TIN,TIN	1622757704821	1622757708296	3471	OK
GROUP	TIN	1622757704820	1622757709491	3471	OK
REQUEST	TIN,TIN	TIN_391139101	1622757707586	1622757710345	OK	 
GROUP	TIN,TIN	1622757707585	1622757710347	2759	OK
GROUP	TIN	1622757707585	1622757711405	2759	OK
REQUEST	TIN,TIN	TIN_391139101	1622757709493	1622757712772	OK	 
GROUP	TIN,TIN	1622757709492	1622757712774	3279	OK
REQUEST	TIN,TIN	TIN_391139101	1622757711407	1622757714312	OK	 
GROUP	TIN,TIN	1622757711406	1622757714314	2905	OK
GROUP	TIN	1622757709492	1622757714407	3279	OK
GROUP	TIN	1622757711406	1622757715774	2905	OK
REQUEST	TIN,TIN	TIN_391139101	1622757714409	1622757717679	OK	 
GROUP	TIN,TIN	1622757714408	1622757717682	3270	OK
GROUP	TIN	1622757714408	1622757719142	3270	OK
REQUEST	TIN,TIN	TIN_391139101	1622757715775	1622757719141	OK	 
GROUP	TIN,TIN	1622757715775	1622757719142	3366	OK
GROUP	TIN	1622757715774	1622757720279	3366	OK
REQUEST	TIN,TIN	TIN_391139101	1622757719143	1622757723122	OK	 
GROUP	TIN,TIN	1622757719143	1622757723124	3979	OK
REQUEST	TIN,TIN	TIN_391139101	1622757720280	1622757723564	OK	 
GROUP	TIN,TIN	1622757720280	1622757723566	3284	OK
GROUP	TIN	1622757719142	1622757724370	3979	OK
GROUP	TIN	1622757720280	1622757725045	3284	OK
REQUEST	TIN,TIN	TIN_391139101	1622757724372	1622757728020	OK	 
