RUN	StarTest.Framework.StarSim	starsim	1626277188141	StarTest.Framework.StarSim-SIMULATION_1_5:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1626277189645
REQUEST	Authenticate	Authenticate	1626277189672	1626277189991	OK	 
GROUP	Authenticate	1626277189647	1626277190010	319	OK
REQUEST	GetStarNote	GetStarNote	1626277190018	1626277193234	OK	 
GROUP	GetStarNote	1626277190013	1626277193237	3216	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1626277195138	1626277195690	OK	 
GROUP	GetEpisodeOfCare	1626277195137	1626277195691	552	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1626277197517	1626277198928	OK	 
GROUP	GetStarUIMemberList	1626277197516	1626277198929	1411	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1626277200738	1626277201615	OK	 
GROUP	GetStarUIMemberDetail	1626277200738	1626277201615	877	OK
REQUEST	ChatTranscript	ChatTranscript	1626277203679	1626277209020	OK	 
GROUP	ChatTranscript	1626277203678	1626277209021	5341	OK
REQUEST	GetStarNote	GetStarNote	1626277210307	1626277211050	OK	 
GROUP	GetStarNote	1626277210307	1626277211051	743	OK
USER	Users_1	START	1626277213639
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1626277213040	1626277213651	OK	 
GROUP	GetEpisodeOfCare	1626277213039	1626277213651	611	OK
REQUEST	Authenticate	Authenticate	1626277213640	1626277213915	OK	 
GROUP	Authenticate	1626277213639	1626277213917	275	OK
REQUEST	GetStarNote	GetStarNote	1626277213917	1626277214776	OK	 
GROUP	GetStarNote	1626277213917	1626277214777	859	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1626277216404	1626277217353	OK	 
GROUP	GetStarUIMemberList	1626277216403	1626277217354	949	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1626277217455	1626277218013	OK	 
GROUP	GetEpisodeOfCare	1626277217454	1626277218014	558	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1626277219347	1626277219807	OK	 
GROUP	GetStarUIMemberDetail	1626277219346	1626277219808	460	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1626277219734	1626277220938	OK	 
GROUP	GetStarUIMemberList	1626277219733	1626277220939	1204	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1626277223379	1626277223850	OK	 
REQUEST	ChatTranscript	ChatTranscript	1626277222498	1626277223850	OK	 
GROUP	GetStarUIMemberDetail	1626277223378	1626277223851	471	OK
GROUP	ChatTranscript	1626277222498	1626277223851	1352	OK
REQUEST	ChatTranscript	ChatTranscript	1626277226242	1626277226555	OK	 
GROUP	ChatTranscript	1626277226241	1626277226555	313	OK
REQUEST	GetStarNote	GetStarNote	1626277228029	1626277229278	OK	 
GROUP	GetStarNote	1626277228029	1626277229279	1249	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1626277230977	1626277231536	OK	 
