RUN	StarTest.Framework.StarSim	starsim	1625592234894	StarTest.Framework.StarSim-SIMULATION_1_30:SIMULATION_2_0:SIMULATION_3_0:Iterations_200	3.5.1
USER	Users_1	START	1625592236329
REQUEST	LOGIN	LOGIN	1625592236347	1625592238356	OK	 
GROUP	LOGIN	1625592236331	1625592238376	2009	OK
REQUEST	GetStarNote	GetStarNote	1625592238382	1625592238734	OK	 
GROUP	GetStarNote	1625592238378	1625592238736	352	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592240207	1625592240658	OK	 
GROUP	GetEpisodeOfCare	1625592240204	1625592240660	451	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625592243169	1625592244198	OK	 
GROUP	GetStarUIMemberList	1625592243168	1625592244200	1029	OK
USER	Users_1	START	1625592244323
REQUEST	LOGIN	LOGIN	1625592244324	1625592244589	OK	 
GROUP	LOGIN	1625592244324	1625592244590	265	OK
REQUEST	GetStarNote	GetStarNote	1625592244591	1625592244946	OK	 
GROUP	GetStarNote	1625592244591	1625592244947	355	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625592246185	1625592246700	OK	 
GROUP	GetStarUIMemberDetail	1625592246184	1625592246701	515	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592247108	1625592247608	OK	 
GROUP	GetEpisodeOfCare	1625592247107	1625592247609	500	OK
REQUEST	ChatTranscript	ChatTranscript	1625592248756	1625592248948	OK	 
GROUP	ChatTranscript	1625592248755	1625592248948	192	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625592250081	1625592250958	OK	 
GROUP	GetStarUIMemberList	1625592250081	1625592250959	877	OK
REQUEST	GetStarNote	GetStarNote	1625592251818	1625592251961	OK	 
GROUP	GetStarNote	1625592251817	1625592251963	143	OK
USER	Users_1	START	1625592252323
REQUEST	LOGIN	LOGIN	1625592252324	1625592252605	OK	 
GROUP	LOGIN	1625592252324	1625592252607	281	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625592253570	1625592254175	OK	 
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592253519	1625592254175	OK	 
GROUP	GetStarUIMemberDetail	1625592253569	1625592254176	605	OK
GROUP	GetEpisodeOfCare	1625592253518	1625592254176	656	OK
REQUEST	ChatTranscript	ChatTranscript	1625592255588	1625592255676	OK	 
GROUP	ChatTranscript	1625592255587	1625592255677	88	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625592256240	1625592257121	OK	 
GROUP	GetStarUIMemberList	1625592256239	1625592257122	881	OK
REQUEST	GetStarNote	GetStarNote	1625592252608	1625592258373	OK	 
GROUP	GetStarNote	1625592252607	1625592258374	5765	OK
REQUEST	GetStarNote	GetStarNote	1625592258505	1625592258669	OK	 
GROUP	GetStarNote	1625592258504	1625592258670	164	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625592259673	1625592260316	OK	 
GROUP	GetStarUIMemberDetail	1625592259672	1625592260317	643	OK
USER	Users_1	START	1625592260325
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592259758	1625592260368	OK	 
GROUP	GetEpisodeOfCare	1625592259757	1625592260369	610	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592259856	1625592260408	OK	 
GROUP	GetEpisodeOfCare	1625592259855	1625592260409	552	OK
REQUEST	LOGIN	LOGIN	1625592260326	1625592260585	OK	 
GROUP	LOGIN	1625592260325	1625592260587	259	OK
REQUEST	GetStarNote	GetStarNote	1625592260588	1625592260921	OK	 
GROUP	GetStarNote	1625592260587	1625592260922	333	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625592261478	1625592262219	OK	 
GROUP	GetStarUIMemberList	1625592261477	1625592262220	741	OK
REQUEST	ChatTranscript	ChatTranscript	1625592262871	1625592263010	OK	 
GROUP	ChatTranscript	1625592262870	1625592263011	139	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592262637	1625592263061	OK	 
GROUP	GetEpisodeOfCare	1625592262636	1625592263062	424	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625592262420	1625592263165	OK	 
GROUP	GetStarUIMemberList	1625592262420	1625592263166	745	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625592263312	1625592264824	OK	 
GROUP	GetStarUIMemberDetail	1625592263311	1625592264825	1512	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625592265466	1625592265892	OK	 
GROUP	GetStarUIMemberDetail	1625592265465	1625592265893	426	OK
REQUEST	GetStarNote	GetStarNote	1625592264388	1625592266020	OK	 
GROUP	GetStarNote	1625592264387	1625592266021	1632	OK
REQUEST	ChatTranscript	ChatTranscript	1625592266065	1625592266139	OK	 
GROUP	ChatTranscript	1625592266064	1625592266140	74	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625592265828	1625592266623	OK	 
GROUP	GetStarUIMemberList	1625592265827	1625592266624	795	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592267265	1625592268135	OK	 
GROUP	GetEpisodeOfCare	1625592267264	1625592268136	870	OK
USER	Users_1	START	1625592268320
REQUEST	GetStarNote	GetStarNote	1625592267942	1625592268653	OK	 
GROUP	GetStarNote	1625592267941	1625592268654	711	OK
REQUEST	ChatTranscript	ChatTranscript	1625592268089	1625592268830	OK	 
GROUP	ChatTranscript	1625592268089	1625592268831	741	OK
REQUEST	LOGIN	LOGIN	1625592268321	1625592269008	OK	 
GROUP	LOGIN	1625592268320	1625592269010	687	OK
REQUEST	GetStarNote	GetStarNote	1625592269011	1625592269728	OK	 
GROUP	GetStarNote	1625592269010	1625592269729	717	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625592269108	1625592270603	OK	 
GROUP	GetStarUIMemberDetail	1625592269107	1625592270604	1495	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592271033	1625592271788	OK	 
GROUP	GetEpisodeOfCare	1625592271032	1625592271789	755	OK
REQUEST	GetStarNote	GetStarNote	1625592271410	1625592271788	OK	 
GROUP	GetStarNote	1625592271409	1625592271789	378	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625592270515	1625592271851	OK	 
GROUP	GetStarUIMemberList	1625592270515	1625592271852	1336	OK
REQUEST	ChatTranscript	ChatTranscript	1625592271806	1625592271878	OK	 
GROUP	ChatTranscript	1625592271805	1625592271878	72	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592272336	1625592272812	OK	 
GROUP	GetEpisodeOfCare	1625592272336	1625592272813	476	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625592273090	1625592273526	OK	 
GROUP	GetStarUIMemberDetail	1625592273089	1625592273526	436	OK
REQUEST	GetStarNote	GetStarNote	1625592274073	1625592274214	OK	 
GROUP	GetStarNote	1625592274072	1625592274215	141	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592274319	1625592274731	OK	 
GROUP	GetEpisodeOfCare	1625592274318	1625592274732	412	OK
REQUEST	ChatTranscript	ChatTranscript	1625592274697	1625592274773	OK	 
GROUP	ChatTranscript	1625592274696	1625592274774	76	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625592274231	1625592274927	OK	 
GROUP	GetStarUIMemberList	1625592274230	1625592274927	696	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592275749	1625592276144	OK	 
GROUP	GetEpisodeOfCare	1625592275748	1625592276145	395	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625592275481	1625592276201	OK	 
GROUP	GetStarUIMemberList	1625592275480	1625592276202	720	OK
USER	Users_1	START	1625592276323
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625592275892	1625592276684	OK	 
GROUP	GetStarUIMemberList	1625592275891	1625592276685	792	OK
REQUEST	LOGIN	LOGIN	1625592276324	1625592276768	OK	 
GROUP	LOGIN	1625592276323	1625592276769	444	OK
REQUEST	GetStarNote	GetStarNote	1625592276633	1625592276775	OK	 
GROUP	GetStarNote	1625592276632	1625592276776	142	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625592276382	1625592276964	OK	 
GROUP	GetStarUIMemberDetail	1625592276382	1625592276965	582	OK
REQUEST	GetStarNote	GetStarNote	1625592276770	1625592277226	OK	 
GROUP	GetStarNote	1625592276769	1625592277227	456	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625592277249	1625592277637	OK	 
GROUP	GetStarUIMemberDetail	1625592277248	1625592277638	388	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1625592277886	1625592278581	OK	 
GROUP	GetStarUIMemberList	1625592277886	1625592278582	695	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1625592278319	1625592278739	OK	 
GROUP	GetStarUIMemberDetail	1625592278318	1625592278740	420	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1625592279117	1625592279503	OK	 
GROUP	GetEpisodeOfCare	1625592279116	1625592279503	386	OK
REQUEST	ChatTranscript	ChatTranscript	1625592279459	1625592279551	OK	 
GROUP	ChatTranscript	1625592279459	1625592279551	92	OK
REQUEST	ChatTranscript	ChatTranscript	1625592279513	1625592279584	OK	 
