RUN	JJ.Framework.JJSim	jjsim	1622653012211	JJ.Framework.JJSim-SIMULATION_1_1:SIMULATION_2_0:SIMULATION_3_0:SIMULATION_4_0:Iterations_7	3.5.1
USER	Users_1	START	1622653014629
REQUEST	Scen_1,NPI	NPI_1245318229	1622653014652	1622653020256	OK	 
GROUP	Scen_1,NPI	1622653014635	1622653020296	5604	OK
GROUP	Scen_1	1622653014632	1622653021747	5604	OK
REQUEST	Scen_1,NPI	NPI_1821049651	1622653021752	1622653021958	OK	 
GROUP	Scen_1,NPI	1622653021749	1622653021960	206	OK
GROUP	Scen_1	1622653021748	1622653023279	206	OK
REQUEST	Scen_1,NPI	NPI_1114976883	1622653023282	1622653023686	OK	 
GROUP	Scen_1,NPI	1622653023281	1622653023688	404	OK
GROUP	Scen_1	1622653023280	1622653025683	404	OK
REQUEST	Scen_1,NPI	NPI_1740270032	1622653025686	1622653025846	OK	 
GROUP	Scen_1,NPI	1622653025685	1622653025847	160	OK
GROUP	Scen_1	1622653025684	1622653027486	160	OK
REQUEST	Scen_1,NPI	NPI_1245419696	1622653027489	1622653027638	OK	 
GROUP	Scen_1,NPI	1622653027488	1622653027639	149	OK
GROUP	Scen_1	1622653027487	1622653029418	149	OK
REQUEST	Scen_1,NPI	NPI_1942331400	1622653029420	1622653029631	OK	 
GROUP	Scen_1,NPI	1622653029420	1622653029633	211	OK
GROUP	Scen_1	1622653029419	1622653031318	211	OK
REQUEST	Scen_1,NPI	NPI_1144239955	1622653031320	1622653031477	OK	 
GROUP	Scen_1,NPI	1622653031319	1622653031478	157	OK
GROUP	Scen_1	1622653031318	1622653033371	157	OK
USER	Users_1	END	1622653033374
