RUN	StarTest.Framework.StarSim	starsim	1624494877780	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1624494879307
REQUEST	StarAPI,LOGIN	LOGIN	1624494879331	1624494879663	OK	 
GROUP	StarAPI,LOGIN	1624494879312	1624494879681	332	OK
USER	Users_1	START	1624494880304
REQUEST	StarAPI,LOGIN	LOGIN	1624494880305	1624494880957	OK	 
GROUP	StarAPI,LOGIN	1624494880304	1624494880958	652	OK
USER	Users_1	START	1624494881303
REQUEST	StarAPI,LOGIN	LOGIN	1624494881304	1624494881578	OK	 
GROUP	StarAPI,LOGIN	1624494881304	1624494881579	274	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624494881502	1624494881905	OK	 
GROUP	StarAPI,GetStarNote	1624494881496	1624494881907	403	OK
USER	Users_1	START	1624494882299
REQUEST	StarAPI,GetStarNote	GetStarNote	1624494882031	1624494882370	OK	 
GROUP	StarAPI,GetStarNote	1624494882030	1624494882372	339	OK
REQUEST	StarAPI,LOGIN	LOGIN	1624494882300	1624494882567	OK	 
GROUP	StarAPI,LOGIN	1624494882300	1624494882568	267	OK
USER	Users_1	START	1624494883300
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624494882943	1624494883362	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624494882941	1624494883364	419	OK
REQUEST	StarAPI,LOGIN	LOGIN	1624494883300	1624494883558	OK	 
GROUP	StarAPI,LOGIN	1624494883300	1624494883560	258	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624494883575	1624494883901	OK	 
GROUP	StarAPI,GetStarNote	1624494883575	1624494883902	326	OK
USER	Users_1	START	1624494884297
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624494883957	1624494884327	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624494883956	1624494884328	370	OK
REQUEST	StarAPI,LOGIN	LOGIN	1624494884298	1624494884556	OK	 
GROUP	StarAPI,LOGIN	1624494884297	1624494884557	258	OK
