RUN	StarTest.Framework.StarSim	starsim	1624545273525	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_10	3.5.1
USER	Users_1	START	1624545275049
REQUEST	StarAPI,LOGIN	LOGIN	1624545275081	1624545275415	OK	 
GROUP	StarAPI,LOGIN	1624545275055	1624545275431	334	OK
USER	Users_1	START	1624545276048
REQUEST	StarAPI,LOGIN	LOGIN	1624545276048	1624545276311	OK	 
GROUP	StarAPI,LOGIN	1624545276048	1624545276312	263	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624545276488	1624545276872	OK	 
GROUP	StarAPI,GetStarNote	1624545276483	1624545276874	384	OK
USER	Users_1	START	1624545277043
REQUEST	StarAPI,LOGIN	LOGIN	1624545277044	1624545277372	OK	 
GROUP	StarAPI,LOGIN	1624545277044	1624545277373	328	OK
USER	Users_1	START	1624545278037
REQUEST	StarAPI,GetStarNote	GetStarNote	1624545277512	1624545278308	OK	 
GROUP	StarAPI,GetStarNote	1624545277511	1624545278309	796	OK
REQUEST	StarAPI,LOGIN	LOGIN	1624545278038	1624545278457	OK	 
GROUP	StarAPI,LOGIN	1624545278038	1624545278458	419	OK
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624545278159	1624545278650	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624545278158	1624545278651	491	OK
USER	Users_1	START	1624545279038
REQUEST	StarAPI,GetStarNote	GetStarNote	1624545278753	1624545279093	OK	 
GROUP	StarAPI,GetStarNote	1624545278753	1624545279095	340	OK
REQUEST	StarAPI,LOGIN	LOGIN	1624545279039	1624545279289	OK	 
GROUP	StarAPI,LOGIN	1624545279039	1624545279290	250	OK
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624545279555	1624545279936	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624545279554	1624545279937	381	OK
USER	Users_1	START	1624545280040
REQUEST	StarAPI,LOGIN	LOGIN	1624545280041	1624545280341	OK	 
GROUP	StarAPI,LOGIN	1624545280040	1624545280342	300	OK
REQUEST	StarAPI,GetStarUIMemberList	GetStarUIMemberList	1624545280141	1624545280883	OK	 
GROUP	StarAPI,GetStarUIMemberList	1624545280140	1624545280884	742	OK
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624545280520	1624545280895	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624545280520	1624545280896	375	OK
USER	Users_1	START	1624545281037
REQUEST	StarAPI,LOGIN	LOGIN	1624545281038	1624545281312	OK	 
GROUP	StarAPI,LOGIN	1624545281038	1624545281313	274	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624545281198	1624545281536	OK	 
GROUP	StarAPI,GetStarNote	1624545281198	1624545281537	338	OK
REQUEST	StarAPI,GetStarUIMemberList	GetStarUIMemberList	1624545281033	1624545281736	OK	 
GROUP	StarAPI,GetStarUIMemberList	1624545281032	1624545281737	703	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624545281537	1624545281872	OK	 
GROUP	StarAPI,GetStarNote	1624545281536	1624545281873	335	OK
USER	Users_1	START	1624545282041
REQUEST	StarAPI,LOGIN	LOGIN	1624545282042	1624545282319	OK	 
GROUP	StarAPI,LOGIN	1624545282041	1624545282319	277	OK
REQUEST	StarAPI,GetStarUIMemberDetail	GetStarUIMemberDetail	1624545282347	1624545282768	OK	 
GROUP	StarAPI,GetStarUIMemberDetail	1624545282346	1624545282769	421	OK
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624545282571	1624545283006	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624545282570	1624545283006	435	OK
USER	Users_1	START	1624545283041
REQUEST	StarAPI,LOGIN	LOGIN	1624545283042	1624545283635	OK	 
GROUP	StarAPI,LOGIN	1624545283041	1624545283636	593	OK
REQUEST	StarAPI,GetStarUIMemberList	GetStarUIMemberList	1624545282855	1624545283689	OK	 
GROUP	StarAPI,GetStarUIMemberList	1624545282854	1624545283689	834	OK
REQUEST	StarAPI,GetStarUIMemberDetail	GetStarUIMemberDetail	1624545283320	1624545283920	OK	 
GROUP	StarAPI,GetStarUIMemberDetail	1624545283319	1624545283920	600	OK
USER	Users_1	START	1624545284037
REQUEST	StarAPI,GetStarNote	GetStarNote	1624545283720	1624545284064	OK	 
GROUP	StarAPI,GetStarNote	1624545283719	1624545284065	344	OK
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624545283715	1624545284106	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624545283715	1624545284107	391	OK
REQUEST	StarAPI,LOGIN	LOGIN	1624545284038	1624545284296	OK	 
