RUN	JJ.Framework.JJSim	jjsim	1622646130107	JJ.Framework.JJSim-SIMULATION_1_1:SIMULATION_2_:SIMULATION_3_:SIMULATION_4_0:Iterations_10	3.5.1
USER	Users_1	START	1622646131598
REQUEST	Scen_1,NPI	NPI_Search	1622646131613	1622646137598	OK	 
GROUP	Scen_1,NPI	1622646131601	1622646137627	5985	OK
GROUP	Scen_1	1622646131600	1622646137627	5985	OK
REQUEST	Scen_1,NPI	NPI_Search	1622646137629	1622646137898	OK	 
GROUP	Scen_1,NPI	1622646137627	1622646137900	269	OK
GROUP	Scen_1	1622646137627	1622646137900	269	OK
REQUEST	Scen_1,NPI	NPI_Search	1622646137901	1622646138157	OK	 
GROUP	Scen_1,NPI	1622646137901	1622646138159	256	OK
GROUP	Scen_1	1622646137901	1622646138159	256	OK
REQUEST	Scen_1,NPI	NPI_Search	1622646138159	1622646138515	OK	 
GROUP	Scen_1,NPI	1622646138159	1622646138516	356	OK
GROUP	Scen_1	1622646138159	1622646138516	356	OK
REQUEST	Scen_1,NPI	NPI_Search	1622646138517	1622646138820	OK	 
GROUP	Scen_1,NPI	1622646138516	1622646138822	303	OK
GROUP	Scen_1	1622646138516	1622646138822	303	OK
REQUEST	Scen_1,NPI	NPI_Search	1622646138823	1622646139132	OK	 
GROUP	Scen_1,NPI	1622646138822	1622646139133	309	OK
GROUP	Scen_1	1622646138822	1622646139133	309	OK
REQUEST	Scen_1,NPI	NPI_Search	1622646139134	1622646141272	OK	 
GROUP	Scen_1,NPI	1622646139134	1622646141273	2138	OK
GROUP	Scen_1	1622646139134	1622646141273	2138	OK
REQUEST	Scen_1,NPI	NPI_Search	1622646141274	1622646141585	OK	 
GROUP	Scen_1,NPI	1622646141274	1622646141586	311	OK
GROUP	Scen_1	1622646141273	1622646141586	311	OK
REQUEST	Scen_1,NPI	NPI_Search	1622646141587	1622646141893	OK	 
GROUP	Scen_1,NPI	1622646141587	1622646141894	306	OK
GROUP	Scen_1	1622646141587	1622646141895	306	OK
REQUEST	Scen_1,NPI	NPI_Search	1622646141895	1622646142184	OK	 
GROUP	Scen_1,NPI	1622646141895	1622646142185	289	OK
GROUP	Scen_1	1622646141895	1622646142185	289	OK
USER	Users_1	END	1622646142187
