RUN	StarTest.Framework.StarSim	starsim	1624488059579	StarTest.Framework.StarSim-SIMULATION_1_1:SIMULATION_2_0:SIMULATION_3_0:Iterations_2	3.5.1
USER	Users_1	START	1624488061035
REQUEST	LOGIN,LOGIN	LOGIN	1624488061063	1624488061723	OK	 
GROUP	LOGIN,LOGIN	1624488061041	1624488061740	660	OK
REQUEST	LOGIN,GetStarNote	GetStarNote	1624488063181	1624488063517	OK	 
GROUP	LOGIN,GetStarNote	1624488063176	1624488063519	336	OK
REQUEST	LOGIN,GetEpisodeOfCare	GetEpisodeOfCare	1624488064933	1624488065377	OK	 
GROUP	LOGIN,GetEpisodeOfCare	1624488064931	1624488065378	444	OK
REQUEST	LOGIN,GetStarUIMemberList	GetStarUIMemberList	1624488066802	1624488067626	OK	 
GROUP	LOGIN,GetStarUIMemberList	1624488066802	1624488067627	824	OK
REQUEST	LOGIN,GetStarUIMemberDetail	GetStarUIMemberDetail	1624488068635	1624488069094	OK	 
GROUP	LOGIN,GetStarUIMemberDetail	1624488068635	1624488069094	459	OK
REQUEST	LOGIN,ChatTranscript	ChatTranscript	1624488071066	1624488071177	OK	 
GROUP	LOGIN,ChatTranscript	1624488071065	1624488071177	111	OK
GROUP	LOGIN	1624488061039	1624488073073	2834	OK
REQUEST	LOGIN,LOGIN	LOGIN	1624488073075	1624488073147	OK	 
GROUP	LOGIN,LOGIN	1624488073074	1624488073148	72	OK
REQUEST	LOGIN,GetStarNote	GetStarNote	1624488074760	1624488074904	OK	 
GROUP	LOGIN,GetStarNote	1624488074759	1624488074905	144	OK
REQUEST	LOGIN,GetEpisodeOfCare	GetEpisodeOfCare	1624488076690	1624488077183	OK	 
GROUP	LOGIN,GetEpisodeOfCare	1624488076689	1624488077183	493	OK
REQUEST	LOGIN,GetStarUIMemberList	GetStarUIMemberList	1624488079085	1624488079807	OK	 
GROUP	LOGIN,GetStarUIMemberList	1624488079085	1624488079808	722	OK
REQUEST	LOGIN,GetStarUIMemberDetail	GetStarUIMemberDetail	1624488081177	1624488081792	OK	 
GROUP	LOGIN,GetStarUIMemberDetail	1624488081177	1624488081793	615	OK
REQUEST	LOGIN,ChatTranscript	ChatTranscript	1624488083282	1624488083381	OK	 
GROUP	LOGIN,ChatTranscript	1624488083282	1624488083382	99	OK
GROUP	LOGIN	1624488073073	1624488084944	2145	OK
USER	Users_1	END	1624488084947
