RUN	StarTest.Framework.StarSim	starsim	1632243767907	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_600	3.5.1
USER	Users_1	START	1632243769294
USER	Users_1	START	1632243769389
USER	Users_1	START	1632243769491
USER	Users_1	START	1632243769594
REQUEST	Authenticate	Authenticate	1632243769320	1632243769660	OK	 
REQUEST	Authenticate	Authenticate	1632243769390	1632243769660	OK	 
GROUP	Authenticate	1632243769296	1632243769675	340	OK
GROUP	Authenticate	1632243769389	1632243769675	270	OK
USER	Users_1	START	1632243769691
REQUEST	Authenticate	Authenticate	1632243769492	1632243769760	OK	 
GROUP	Authenticate	1632243769491	1632243769760	268	OK
USER	Users_1	START	1632243769791
REQUEST	Authenticate	Authenticate	1632243769595	1632243769859	OK	 
GROUP	Authenticate	1632243769594	1632243769860	264	OK
USER	Users_1	START	1632243769891
REQUEST	Authenticate	Authenticate	1632243769692	1632243769968	OK	 
GROUP	Authenticate	1632243769691	1632243769968	276	OK
USER	Users_1	START	1632243769990
REQUEST	Authenticate	Authenticate	1632243769792	1632243770064	OK	 
GROUP	Authenticate	1632243769791	1632243770065	272	OK
USER	Users_1	START	1632243770091
REQUEST	Authenticate	Authenticate	1632243769891	1632243770159	OK	 
GROUP	Authenticate	1632243769891	1632243770159	268	OK
USER	Users_1	START	1632243770195
REQUEST	Authenticate	Authenticate	1632243769991	1632243770244	OK	 
GROUP	Authenticate	1632243769990	1632243770245	253	OK
REQUEST	GetStarNote	GetStarNote	1632243769683	1632243770266	OK	 
REQUEST	GetStarNote	GetStarNote	1632243769683	1632243770267	OK	 
REQUEST	GetStarNote	GetStarNote	1632243769761	1632243770266	OK	 
GROUP	GetStarNote	1632243769678	1632243770268	584	OK
GROUP	GetStarNote	1632243769677	1632243770268	583	OK
GROUP	GetStarNote	1632243769761	1632243770268	505	OK
REQUEST	GetStarNote	GetStarNote	1632243769969	1632243770310	OK	 
GROUP	GetStarNote	1632243769968	1632243770311	341	OK
REQUEST	Authenticate	Authenticate	1632243770092	1632243770346	OK	 
GROUP	Authenticate	1632243770091	1632243770347	254	OK
REQUEST	GetStarNote	GetStarNote	1632243770065	1632243770395	OK	 
GROUP	GetStarNote	1632243770065	1632243770395	330	OK
REQUEST	GetStarNote	GetStarNote	1632243769861	1632243770445	OK	 
GROUP	GetStarNote	1632243769860	1632243770446	584	OK
REQUEST	Authenticate	Authenticate	1632243770195	1632243770450	OK	 
GROUP	Authenticate	1632243770195	1632243770450	255	OK
REQUEST	GetStarNote	GetStarNote	1632243770160	1632243770713	OK	 
GROUP	GetStarNote	1632243770160	1632243770713	553	OK
REQUEST	GetStarNote	GetStarNote	1632243770245	1632243770754	OK	 
GROUP	GetStarNote	1632243770245	1632243770754	509	OK
REQUEST	GetStarNote	GetStarNote	1632243770347	1632243770871	OK	 
GROUP	GetStarNote	1632243770347	1632243770871	524	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632243770397	1632243770992	OK	 
GROUP	GetEpisodeOfCare	1632243770397	1632243770992	595	OK
REQUEST	GetStarNote	GetStarNote	1632243770451	1632243771011	OK	 
GROUP	GetStarNote	1632243770450	1632243771012	560	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632243770354	1632243771105	OK	 
GROUP	GetEpisodeOfCare	1632243770352	1632243771106	751	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632243770660	1632243771746	OK	 
GROUP	GetEpisodeOfCare	1632243770659	1632243771747	1086	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632243770821	1632243771834	OK	 
GROUP	GetEpisodeOfCare	1632243770821	1632243771835	1013	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632243770979	1632243772343	OK	 
GROUP	GetEpisodeOfCare	1632243770979	1632243772344	1364	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632243771292	1632243773124	OK	 
GROUP	GetEpisodeOfCare	1632243771291	1632243773124	1832	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632243771259	1632243773125	OK	 
GROUP	GetEpisodeOfCare	1632243771259	1632243773125	1866	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1632243771087	1632243773853	OK	 
GROUP	GetStarUIMemberList	1632243771087	1632243773854	2766	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632243771549	1632243773914	OK	 
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632243771598	1632243773914	OK	 
GROUP	GetEpisodeOfCare	1632243771597	1632243773914	2316	OK
GROUP	GetEpisodeOfCare	1632243771549	1632243773914	2365	OK
REQUEST	GetEpisodeOfCare	GetEpisodeOfCare	1632243771186	1632243773941	OK	 
GROUP	GetEpisodeOfCare	1632243771186	1632243773941	2755	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1632243771423	1632243773955	OK	 
GROUP	GetStarUIMemberList	1632243771422	1632243773956	2532	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1632243772331	1632243774205	OK	 
GROUP	GetStarUIMemberList	1632243772330	1632243774205	1874	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1632243772716	1632243774211	OK	 
GROUP	GetStarUIMemberList	1632243772716	1632243774211	1495	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1632243773071	1632243774218	OK	 
GROUP	GetStarUIMemberList	1632243773070	1632243774218	1147	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1632243774271	1632243775135	OK	 
GROUP	GetStarUIMemberDetail	1632243774270	1632243775136	864	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1632243773780	1632243775305	OK	 
GROUP	GetStarUIMemberList	1632243773779	1632243775305	1525	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1632243774299	1632243775753	OK	 
GROUP	GetStarUIMemberDetail	1632243774299	1632243775753	1454	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1632243773938	1632243775973	OK	 
GROUP	GetStarUIMemberList	1632243773938	1632243775974	2035	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1632243774456	1632243775981	OK	 
GROUP	GetStarUIMemberDetail	1632243774455	1632243775981	1525	OK
REQUEST	ChatTranscript	ChatTranscript	1632243776037	1632243776123	OK	 
GROUP	ChatTranscript	1632243776037	1632243776123	86	OK
REQUEST	ChatTranscript	ChatTranscript	1632243776093	1632243776167	OK	 
GROUP	ChatTranscript	1632243776092	1632243776167	74	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1632243774694	1632243776235	OK	 
GROUP	GetStarUIMemberDetail	1632243774693	1632243776236	1541	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1632243774780	1632243776359	OK	 
GROUP	GetStarUIMemberDetail	1632243774779	1632243776359	1579	OK
REQUEST	ChatTranscript	ChatTranscript	1632243776335	1632243776414	OK	 
GROUP	ChatTranscript	1632243776334	1632243776415	79	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1632243775443	1632243776508	OK	 
GROUP	GetStarUIMemberDetail	1632243775442	1632243776509	1065	OK
REQUEST	ChatTranscript	ChatTranscript	1632243776575	1632243776650	OK	 
GROUP	ChatTranscript	1632243776574	1632243776650	75	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1632243774550	1632243776659	OK	 
GROUP	GetStarUIMemberList	1632243774549	1632243776659	2109	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1632243774550	1632243776665	OK	 
GROUP	GetStarUIMemberList	1632243774549	1632243776666	2115	OK
REQUEST	GetStarUIMemberList	GetStarUIMemberList	1632243774939	1632243776689	OK	 
GROUP	GetStarUIMemberList	1632243774939	1632243776689	1750	OK
REQUEST	ChatTranscript	ChatTranscript	1632243776682	1632243776752	OK	 
GROUP	ChatTranscript	1632243776682	1632243776752	70	OK
REQUEST	GetStarNote	GetStarNote	1632243776629	1632243776772	OK	 
GROUP	GetStarNote	1632243776628	1632243776773	143	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1632243776487	1632243776971	OK	 
GROUP	GetStarUIMemberDetail	1632243776486	1632243776971	484	OK
REQUEST	GetStarNote	GetStarNote	1632243776873	1632243777047	OK	 
GROUP	GetStarNote	1632243776872	1632243777048	174	OK
REQUEST	GetStarNote	GetStarNote	1632243776951	1632243777143	OK	 
GROUP	GetStarNote	1632243776950	1632243777143	192	OK
REQUEST	GetStarNote	GetStarNote	1632243776959	1632243777153	OK	 
GROUP	GetStarNote	1632243776958	1632243777153	194	OK
REQUEST	ChatTranscript	ChatTranscript	1632243777192	1632243777279	OK	 
GROUP	ChatTranscript	1632243777191	1632243777279	87	OK
REQUEST	GetStarUIMemberDetail	GetStarUIMemberDetail	1632243776844	1632243777328	OK	 
GROUP	GetStarUIMemberDetail	1632243776843	1632243777328	484	OK
REQUEST	GetStarNote	GetStarNote	1632243777175	1632243777340	OK	 
GROUP	GetStarNote	1632243777175	1632243777341	165	OK
REQUEST	ChatTranscript	ChatTranscript	1632243777398	1632243777494	OK	 
GROUP	ChatTranscript	1632243777397	1632243777495	96	OK
REQUEST	ChatTranscript	ChatTranscript	1632243777470	1632243777559	OK	 
GROUP	ChatTranscript	1632243777469	1632243777559	89	OK
