RUN	StarTest.Framework.StarSim	starsim	1632235625720	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1632235627173
USER	Users_1	START	1632235627269
USER	Users_1	START	1632235627371
USER	Users_1	START	1632235627469
REQUEST	Authenticate	Authenticate	1632235627199	1632235627538	OK	 
REQUEST	Authenticate	Authenticate	1632235627269	1632235627539	OK	 
GROUP	Authenticate	1632235627175	1632235627554	339	OK
GROUP	Authenticate	1632235627269	1632235627554	270	OK
USER	Users_1	START	1632235627570
REQUEST	Authenticate	Authenticate	1632235627372	1632235627634	OK	 
GROUP	Authenticate	1632235627371	1632235627634	262	OK
USER	Users_1	START	1632235627668
REQUEST	Authenticate	Authenticate	1632235627470	1632235627735	OK	 
GROUP	Authenticate	1632235627469	1632235627736	265	OK
USER	Users_1	START	1632235627768
REQUEST	Authenticate	Authenticate	1632235627571	1632235627838	OK	 
GROUP	Authenticate	1632235627571	1632235627839	267	OK
USER	Users_1	START	1632235627868
REQUEST	GetStarNote	GetStarNote	1632235627563	1632235627908	OK	 
GROUP	GetStarNote	1632235627557	1632235627910	345	OK
REQUEST	GetStarNote	GetStarNote	1632235627563	1632235627913	OK	 
GROUP	GetStarNote	1632235627557	1632235627913	350	OK
REQUEST	Authenticate	Authenticate	1632235627669	1632235627939	OK	 
GROUP	Authenticate	1632235627668	1632235627940	270	OK
USER	Users_1	START	1632235627970
REQUEST	GetStarNote	GetStarNote	1632235627635	1632235627981	OK	 
GROUP	GetStarNote	1632235627635	1632235627982	346	OK
REQUEST	Authenticate	Authenticate	1632235627769	1632235628043	OK	 
GROUP	Authenticate	1632235627769	1632235628043	274	OK
USER	Users_1	START	1632235628070
REQUEST	Authenticate	Authenticate	1632235627869	1632235628142	OK	 
GROUP	Authenticate	1632235627868	1632235628142	273	OK
REQUEST	GetStarNote	GetStarNote	1632235627737	1632235628155	OK	 
GROUP	GetStarNote	1632235627736	1632235628156	418	OK
REQUEST	GetStarNote	GetStarNote	1632235627840	1632235628182	OK	 
GROUP	GetStarNote	1632235627839	1632235628183	342	OK
REQUEST	Authenticate	Authenticate	1632235627971	1632235628236	OK	 
GROUP	Authenticate	1632235627970	1632235628236	265	OK
REQUEST	GetStarNote	GetStarNote	1632235627941	1632235628288	OK	 
GROUP	GetStarNote	1632235627940	1632235628288	347	OK
