RUN	Optum.Framework.OptumSim	optumsim	1625962420058	Optum.Framework.OptumSim-SIMULATION_1_20:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1625962421530
REQUEST	,Login		1625962421546	1625962421817	OK	 
REQUEST	,Login	favicon.ico	1625962421865	1625962422161	OK	 
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625962421865	1625962422230	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625962421866	1625962422232	OK	 
REQUEST	,Login	icon?family=Material+Icons	1625962421867	1625962422242	OK	 
REQUEST	,Login	styles-es5.8dcb7b1cdd5d944ad068.js	1625962422163	1625962422298	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625962421867	1625962422349	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625962421867	1625962422351	OK	 
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625962421866	1625962422531	OK	 
REQUEST	,Login	main-es2015.8a12e6f1e5b08471ce36.js	1625962422231	1625962423297	OK	 
REQUEST	,Login	main-es5.8a12e6f1e5b08471ce36.js	1625962422232	1625962423827	OK	 
REQUEST	,Login		1625962423828	1625962423892	OK	 
REQUEST	,Login		1625962423895	1625962423954	OK	 
USER	Users_1	START	1625962427525
REQUEST	,Login		1625962427526	1625962427927	OK	 
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625962427929	1625962428204	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625962427930	1625962428208	OK	 
REQUEST	,Login	icon?family=Material+Icons	1625962427930	1625962428216	OK	 
REQUEST	,Login	favicon.ico	1625962427929	1625962428232	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625962427930	1625962428336	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625962427930	1625962428338	OK	 
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625962427930	1625962428389	OK	 
REQUEST	,Login	styles-es5.8dcb7b1cdd5d944ad068.js	1625962428204	1625962428406	OK	 
REQUEST	,Login		1625962423955	1625962429064	OK	 
GROUP	,Login	1625962421533	1625962429065	7468	OK
REQUEST	,Login	main-es5.8a12e6f1e5b08471ce36.js	1625962428233	1625962429280	OK	 
REQUEST	,Login	main-es2015.8a12e6f1e5b08471ce36.js	1625962428208	1625962429307	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625962429068	1625962429342	OK	 
GROUP	,SearchByActiveMember	1625962429067	1625962429342	274	OK
REQUEST	,Login		1625962429308	1625962429375	OK	 
REQUEST	,Login		1625962429376	1625962429438	OK	 
REQUEST	,Login		1625962429439	1625962430191	OK	 
GROUP	,Login	1625962427525	1625962430191	2661	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625962430192	1625962430374	OK	 
GROUP	,SearchByActiveMember	1625962430192	1625962430375	182	OK
REQUEST	,SearchName_douglas	Search_1	1625962430931	1625962431153	OK	 
REQUEST	,SearchName_thomas	Search_1	1625962431461	1625962431738	OK	 
REQUEST	,SearchName_douglas	Search_3330526	1625962431156	1625962431740	OK	 
GROUP	,SearchName_douglas	1625962430928	1625962431740	806	OK
REQUEST	,SearchName_thomas	Search_2003326739	1625962431739	1625962432022	OK	 
GROUP	,SearchName_thomas	1625962431460	1625962432022	560	OK
USER	Users_1	START	1625962433521
REQUEST	,Login		1625962433522	1625962433796	OK	 
REQUEST	,S_3330526	Select_douglas	1625962432928	1625962433839	OK	 
REQUEST	,S_2003326739	Select_thomas	1625962433869	1625962433955	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625962433797	1625962434075	OK	 
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625962433797	1625962434077	OK	 
REQUEST	,Login	icon?family=Material+Icons	1625962433798	1625962434089	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625962433798	1625962434186	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625962433798	1625962434202	OK	 
REQUEST	,Login	favicon.ico	1625962433797	1625962434239	OK	 
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625962433798	1625962434258	OK	 
REQUEST	,Login	styles-es5.8dcb7b1cdd5d944ad068.js	1625962434075	1625962434329	OK	 
REQUEST	,S_3330526	request_1	1625962433840	1625962434688	OK	 
REQUEST	,Login	main-es5.8a12e6f1e5b08471ce36.js	1625962434187	1625962435260	OK	 
REQUEST	,S_3330526	request_3330526	1625962434689	1625962435343	OK	 
GROUP	,S_3330526	1625962432927	1625962435344	2413	OK
REQUEST	,Login	main-es2015.8a12e6f1e5b08471ce36.js	1625962434077	1625962435627	OK	 
REQUEST	,Login		1625962435628	1625962435694	OK	 
REQUEST	,Login		1625962435695	1625962435757	OK	 
REQUEST	,Login		1625962435758	1625962436189	OK	 
GROUP	,Login	1625962433521	1625962436189	2665	OK
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625962436190	1625962436403	OK	 
GROUP	,SearchByActiveMember	1625962436190	1625962436403	213	OK
REQUEST	,DrillDown_douglas	67672	1625962436749	1625962437872	OK	 
GROUP	,DrillDown_douglas	1625962436748	1625962437873	1123	OK
REQUEST	,SearchName_smith	Search_1	1625962437994	1625962438383	OK	 
REQUEST	,SearchName_smith	Search_3231359	1625962438384	1625962438793	OK	 
GROUP	,SearchName_smith	1625962437993	1625962438793	798	OK
REQUEST	,S_2003326739	request_1	1625962433956	1625962439305	OK	 
USER	Users_1	START	1625962439521
REQUEST	,S_2003326739	request_2003326739	1625962439306	1625962439556	OK	 
GROUP	,S_2003326739	1625962433868	1625962439556	5685	OK
REQUEST	,Login		1625962439522	1625962439786	OK	 
REQUEST	,SearchByActiveMember	Select_SearchByActiveMember	1625962439670	1625962439792	OK	 
GROUP	,SearchByActiveMember	1625962439669	1625962439793	122	OK
REQUEST	,Login	favicon.ico	1625962439787	1625962440038	OK	 
REQUEST	,Login	runtime-es2015.a02b527030695c21acab.js	1625962439788	1625962440063	OK	 
REQUEST	,Login	runtime-es5.a02b527030695c21acab.js	1625962439788	1625962440066	OK	 
REQUEST	,Login	icon?family=Material+Icons	1625962439788	1625962440068	OK	 
REQUEST	,Login	styles-es5.8dcb7b1cdd5d944ad068.js	1625962440039	1625962440182	OK	 
REQUEST	,Login	styles-es2015.8dcb7b1cdd5d944ad068.js	1625962439788	1625962440186	OK	 
REQUEST	,Login	polyfills-es5.7951a9b6d5d3faf73072.js	1625962439788	1625962440248	OK	 
REQUEST	,Login	polyfills-es2015.08b3d487343e8bcb5f4b.js	1625962439788	1625962440248	OK	 
REQUEST	,S_3231359	Select_smith	1625962440757	1625962440939	OK	 
REQUEST	,Login	main-es5.8a12e6f1e5b08471ce36.js	1625962440066	1625962441166	OK	 
REQUEST	,S_3231359	request_1	1625962440940	1625962441342	OK	 
REQUEST	,SearchName_roger	Search_1	1625962441232	1625962441391	OK	 
REQUEST	,S_3231359	request_3231359	1625962441343	1625962441582	OK	 
GROUP	,S_3231359	1625962440756	1625962441582	823	OK
REQUEST	,SearchName_roger	Search_3328306	1625962441391	1625962441617	OK	 
GROUP	,SearchName_roger	1625962441231	1625962441617	385	OK
REQUEST	,Login	main-es2015.8a12e6f1e5b08471ce36.js	1625962440065	1625962441616	OK	 
REQUEST	,Login		1625962441617	1625962441682	OK	 
REQUEST	,Login		1625962441683	1625962441746	OK	 
REQUEST	,Login		1625962441747	1625962442171	OK	 
GROUP	,Login	1625962439521	1625962442172	2647	OK
