RUN	Optum.Framework.OptumSim	optumsim	1622578485208	Optum.Framework.OptumSim-SIMULATION_1_2:SIMULATION_2_0:SIMULATION_3_0:SIMULATION_4_0:Iterations_2	3.5.1
REQUEST	Scen_1,Login	BasePage_5	1622578525701	1622578529978	OK	 
GROUP	Scen_1,Login	1622578525369	1622578529978	4603	OK
REQUEST	Scen_1,S_1803327625	Select_baker	1622578529846	1622578530008	OK	 
REQUEST	Scen_1,S_1803327625	request_1	1622578530009	1622578530272	OK	 
REQUEST	Scen_1,SearchByActiveMember	Select_SearchByActiveMember	1622578530980	1622578531142	OK	 
GROUP	Scen_1,SearchByActiveMember	1622578530980	1622578531142	162	OK
REQUEST	Scen_1,S_1803327625	request_1803327625	1622578530273	1622578532679	OK	 
GROUP	Scen_1,S_1803327625	1622578529846	1622578532679	2831	OK
REQUEST	Scen_1,SearchName_douglas	Search_1	1622578532215	1622578532880	OK	 
REQUEST	Scen_1,SearchName_douglas	Search_2003330312	1622578532883	1622578533397	OK	 
GROUP	Scen_1,SearchName_douglas	1622578532214	1622578533397	1179	OK
REQUEST	Scen_1,DrillDown_baker	68847	1622578534214	1622578534625	OK	 
GROUP	Scen_1,DrillDown_baker	1622578534213	1622578534625	411	OK
REQUEST	Scen_1,S_2003330312	Select_douglas	1622578534983	1622578535066	OK	 
REQUEST	Scen_1,SearchByActiveMember	Select_SearchByActiveMember	1622578536117	1622578536434	OK	 
GROUP	Scen_1,SearchByActiveMember	1622578536117	1622578536435	317	OK
REQUEST	Scen_1,S_2003330312	request_1	1622578535067	1622578537122	OK	 
REQUEST	Scen_1,SearchName_thomas	Search_1	1622578538212	1622578540561	OK	 
REQUEST	Scen_1,S_2003330312	request_2003330312	1622578537123	1622578541178	OK	 
GROUP	Scen_1,S_2003330312	1622578534983	1622578541178	6193	OK
REQUEST	Scen_1,SearchName_thomas	Search_903323080	1622578540563	1622578541790	OK	 
GROUP	Scen_1,SearchName_thomas	1622578538212	1622578541791	3576	OK
REQUEST	Scen_1,DrillDown_douglas	64881	1622578542435	1622578542636	OK	 
GROUP	Scen_1,DrillDown_douglas	1622578542435	1622578542637	201	OK
REQUEST	Scen_1,S_903323080	Select_thomas	1622578543617	1622578543897	OK	 
REQUEST	Scen_1,S_903323080	request_1	1622578543898	1622578544339	OK	 
REQUEST	Scen_1,SearchByActiveMember	Select_SearchByActiveMember	1622578544329	1622578544740	OK	 
GROUP	Scen_1,SearchByActiveMember	1622578544329	1622578544740	411	OK
REQUEST	Scen_1,S_903323080	request_903323080	1622578544340	1622578547319	OK	 
GROUP	Scen_1,S_903323080	1622578543617	1622578547320	3700	OK
REQUEST	Scen_1,SearchName_smith	Search_1	1622578545986	1622578547527	OK	 
REQUEST	Scen_1,SearchName_smith	Search_403324605	1622578547528	1622578548449	OK	 
GROUP	Scen_1,SearchName_smith	1622578545985	1622578548449	2462	OK
REQUEST	Scen_1,DrillDown_thomas	68806	1622578548686	1622578548837	OK	 
GROUP	Scen_1,DrillDown_thomas	1622578548686	1622578548838	151	OK
GROUP	Scen_1	1622578520254	1622578550193	16497	OK
USER	Users_1	END	1622578550195
REQUEST	Scen_1,S_403324605	Select_smith	1622578550318	1622578550487	OK	 
REQUEST	Scen_1,S_403324605	request_1	1622578550488	1622578551213	OK	 
REQUEST	Scen_1,S_403324605	request_403324605	1622578551214	1622578553877	OK	 
GROUP	Scen_1,S_403324605	1622578550318	1622578553877	3557	OK
REQUEST	Scen_1,DrillDown_smith	68530	1622578555245	1622578555821	OK	 
GROUP	Scen_1,DrillDown_smith	1622578555244	1622578555822	576	OK
GROUP	Scen_1	1622578525369	1622578557292	19344	OK
USER	Users_1	END	1622578557293
