RUN	StarTest.Framework.StarSim	starsim	1624551061296	StarTest.Framework.StarSim-SIMULATION_1_1:SIMULATION_2_0:SIMULATION_3_0:Iterations_2	3.5.1
USER	Users_1	START	1624551062733
REQUEST	StarAPI,LOGIN	LOGIN	1624551062755	1624551063054	OK	 
GROUP	StarAPI,LOGIN	1624551062736	1624551063074	299	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624551063080	1624551063473	OK	 
GROUP	StarAPI,GetStarNote	1624551063076	1624551063476	393	OK
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624551064710	1624551065098	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624551064708	1624551065100	388	OK
REQUEST	StarAPI,GetStarUIMemberList	GetStarUIMemberList	1624551066216	1624551067127	OK	 
GROUP	StarAPI,GetStarUIMemberList	1624551066215	1624551067129	911	OK
REQUEST	StarAPI,GetStarUIMemberDetail	GetStarUIMemberDetail	1624551069003	1624551069400	OK	 
GROUP	StarAPI,GetStarUIMemberDetail	1624551069002	1624551069401	397	OK
REQUEST	StarAPI,ChatTranscript	ChatTranscript	1624551071249	1624551071603	OK	 
GROUP	StarAPI,ChatTranscript	1624551071248	1624551071604	354	OK
REQUEST	StarAPI,GetStarNote	GetStarNote	1624551073133	1624551073278	OK	 
GROUP	StarAPI,GetStarNote	1624551073132	1624551073280	145	OK
REQUEST	StarAPI,GetEpisodeOfCare	GetEpisodeOfCare	1624551074442	1624551075013	OK	 
GROUP	StarAPI,GetEpisodeOfCare	1624551074441	1624551075014	571	OK
REQUEST	StarAPI,GetStarUIMemberList	GetStarUIMemberList	1624551076431	1624551077151	OK	 
GROUP	StarAPI,GetStarUIMemberList	1624551076430	1624551077152	720	OK
REQUEST	StarAPI,GetStarUIMemberDetail	GetStarUIMemberDetail	1624551079110	1624551079518	OK	 
GROUP	StarAPI,GetStarUIMemberDetail	1624551079109	1624551079519	408	OK
REQUEST	StarAPI,ChatTranscript	ChatTranscript	1624551080950	1624551081057	OK	 
GROUP	StarAPI,ChatTranscript	1624551080949	1624551081058	107	OK
GROUP	StarAPI	1624551062735	1624551082209	4693	OK
USER	Users_1	END	1624551082213
